# time,norm,ground_population
3.209674487932097087e+00,9.999999999797354322e-01,9.999999967012025426e-01
6.419348975864194173e+00,9.999999997923691986e-01,9.999999558253473975e-01
9.629023463796290372e+00,9.999999996078888786e-01,9.999995013921558762e-01
1.283869795172838835e+01,9.999999994982098350e-01,9.999982682779670062e-01
1.604837243966048632e+01,9.999999994278271354e-01,9.999936295950976328e-01
1.925804692759258074e+01,9.999999993763135642e-01,9.999865236367136978e-01
2.246772141552467872e+01,9.999999993360504380e-01,9.999661224180945718e-01
2.567739590345677669e+01,9.999999993036955415e-01,9.999431998453324200e-01
2.888707039138887112e+01,9.999999992714559971e-01,9.998839582563318062e-01
3.209674487932097264e+01,9.999999991931773913e-01,9.998278770285948802e-01
3.530641936725306351e+01,9.999999987271346313e-01,9.996954303185932034e-01
3.851609385518516149e+01,9.999999957380335536e-01,9.995772285316645300e-01
4.172576834311725946e+01,9.999999792432151535e-01,9.993310153631556059e-01
4.493544283104935744e+01,9.999999030150028556e-01,9.991043754647112030e-01
4.814511731898145541e+01,9.999996082142298404e-01,9.987060058472138069e-01
5.135479180691355339e+01,9.999986496961329463e-01,9.983026147214663082e-01
5.456446629484565136e+01,9.999960093787632065e-01,9.977249774798726545e-01
5.777414078277774223e+01,9.999897789200897780e-01,9.970545552401424150e-01
6.098381527070984021e+01,9.999769808839846785e-01,9.962851601439914884e-01
6.419348975864194529e+01,9.999535974828964724e-01,9.952461418597977616e-01
6.740316424657403616e+01,9.999145886707097031e-01,9.942801800369276410e-01
7.061283873450612703e+01,9.998536505392223717e-01,9.927817749449152629e-01
7.382251322243823211e+01,9.997629019074242285e-01,9.916085883006899859e-01
7.703218771037032297e+01,9.996330268115207751e-01,9.895958719191852992e-01
8.024186219830242806e+01,9.994537290804542673e-01,9.881840955592081643e-01
8.345153668623451892e+01,9.992138345853683878e-01,9.856622557155865216e-01
8.666121117416662401e+01,9.989009401666242294e-01,9.839486824902795581e-01
8.987088566209871487e+01,9.985016608631408497e-01,9.809949141291932628e-01
9.308056015003080574e+01,9.980023589171274079e-01,9.788888833426780955e-01
9.629023463796291082e+01,9.973895006743237479e-01,9.756388898651429109e-01
9.949990912589500169e+01,9.966493057613907691e-01,9.730465752937973445e-01
1.027095836138271068e+02,9.957681363969890231e-01,9.696665727901465637e-01
1.059192581017591976e+02,9.947334747132312582e-01,9.665235769575833968e-01
1.091289325896913027e+02,9.935340104889345270e-01,9.631740584984350706e-01
1.123386070776233936e+02,9.921596110770442012e-01,9.594790066531558859e-01
1.155482815655554845e+02,9.906017867284584444e-01,9.562749057030406341e-01
1.187579560534875895e+02,9.888547461938368421e-01,9.521153136488686997e-01
1.219676305414196804e+02,9.869145341431191376e-01,9.491032009330737651e-01
1.251773050293517855e+02,9.847796097123020509e-01,9.446519179846645242e-01
1.283869795172838906e+02,9.824508738433140875e-01,9.418139670928679097e-01
1.315966540052159814e+02,9.799325192384222838e-01,9.373025375301272666e-01
1.348063284931480723e+02,9.772306436699692567e-01,9.345788551221002605e-01
1.380160029810801632e+02,9.743543665055505176e-01,9.302587664063762807e-01
1.412256774690122541e+02,9.713153767992465104e-01,9.275818654609042646e-01
1.444353519569443733e+02,9.681280392316222727e-01,9.236722022384087349e-01
1.476450264448764642e+02,9.648085484397079803e-01,9.210049884020806710e-01
1.508547009328085551e+02,9.613755232975101928e-01,9.176530952363070037e-01
1.540643754207406459e+02,9.578495131103822446e-01,9.150102033459577289e-01
1.572740499086727368e+02,9.542521077266961083e-01,9.122759087458636174e-01
1.604837243966048561e+02,9.506061469293313193e-01,9.097217710127668555e-01
1.636933988845369470e+02,9.469350436218386680e-01,9.075824797152362011e-01
1.669030733724690378e+02,9.432626319695183170e-01,9.052154260788702889e-01
1.701127478604011287e+02,9.396121020129700740e-01,9.035891741729372706e-01
1.733224223483332480e+02,9.360066956606285515e-01,9.015118214617736658e-01
1.765320968362653389e+02,9.324685439100914852e-01,9.002921390474923902e-01
1.797417713241974297e+02,9.290187920303277780e-01,8.985796697812806766e-01
1.829514458121295206e+02,9.256769203644108490e-01,8.976654132873284064e-01
1.861611203000616115e+02,9.224608604826520786e-01,8.963481804935491404e-01
1.893707947879937308e+02,9.193863201981322675e-01,8.956600958363190035e-01
1.925804692759258216e+02,9.164669008993576726e-01,8.947210833888699089e-01
1.957901437638579125e+02,9.137139995562160166e-01,8.942064643480500674e-01
1.989998182517900034e+02,9.111365707105136824e-01,8.935894055916377976e-01
2.022094927397220943e+02,9.087411180529898491e-01,8.932165141914527595e-01
2.054191672276542135e+02,9.065316300687613627e-01,8.928454039061856085e-01
2.086288417155863044e+02,9.045097711122725981e-01,8.925914617713914812e-01
2.118385162035183953e+02,9.026747746707219910e-01,8.923897000979136296e-01
2.150481906914504862e+02,9.010237922593602455e-01,8.922323115599581911e-01
2.182578651793826054e+02,8.995518523773070596e-01,8.921349841482191234e-01
2.214675396673146963e+02,8.982521727187624538e-01,8.920497476794112535e-01
2.246772141552467872e+02,8.971162622406246845e-01,8.920095964876277872e-01
2.278868886431788781e+02,8.961343455937131885e-01,8.919712202690177616e-01
2.310965631311109689e+02,8.952954652990869899e-01,8.919582920661809355e-01
2.343062376190430882e+02,8.945878337386962142e-01,8.919448965884675395e-01
2.375159121069751791e+02,8.939990417426687541e-01,8.919423609825783972e-01
2.407255865949072700e+02,8.935164258323454733e-01,8.919391625288920489e-01
2.439352610828393608e+02,8.931272658812063892e-01,8.919390648469101013e-01
2.471449355707714517e+02,8.928190750942713860e-01,8.919386066937526891e-01
2.503546100587035710e+02,8.925798069043787697e-01,8.919385705851412549e-01
2.535642845466356619e+02,8.923980886521944988e-01,8.919385699771417153e-01
2.567739590345677811e+02,8.922633918685101140e-01,8.919385706872923203e-01
2.599836335224998720e+02,8.921661778164919898e-01,8.919385695985869722e-01
2.631933080104319629e+02,8.920980024041709200e-01,8.919385709031363296e-01
2.664029824983640538e+02,8.920515827351284122e-01,8.919385694846708734e-01
2.696126569862961446e+02,8.920208305623490430e-01,8.919385708849054684e-01
2.728223314742282355e+02,8.920008310931151208e-01,8.919385695613218923e-01
2.760320059621603264e+02,8.919877911200683185e-01,8.919385707079010572e-01
2.792416804500924172e+02,8.919789484986737627e-01,8.919385697466434282e-01
2.824513549380245081e+02,8.919724324608929722e-01,8.919385704867562881e-01
2.856610294259566558e+02,8.919671484647612170e-01,8.919385699498141307e-01
2.888707039138887467e+02,8.919626649922516304e-01,8.919385702685709294e-01
