DVR ground -2.903853924477165 ion [-2.00013685 -0.5000443 ] D12 0.48229705173885407 grid 213
DVR 1000/32134, Pg=0.99999932, dim=0, wall=21.9
DVR 2000/32134, Pg=0.99998223, dim=0, wall=44.5
DVR 3000/32134, Pg=0.99987682, dim=0, wall=67.3
DVR 4000/32134, Pg=0.99947614, dim=0, wall=89.7
DVR 5000/32134, Pg=0.99843402, dim=0, wall=112.0
DVR 6000/32134, Pg=0.99647450, dim=0, wall=133.7
DVR 7000/32134, Pg=0.99329926, dim=0, wall=155.4
DVR 8000/32134, Pg=0.98825782, dim=0, wall=176.9
DVR 9000/32134, Pg=0.98096642, dim=0, wall=198.7
DVR 10000/32134, Pg=0.97208671, dim=0, wall=220.3
DVR 11000/32134, Pg=0.96231843, dim=0, wall=241.5
DVR 12000/32134, Pg=0.95139034, dim=0, wall=262.8
DVR 13000/32134, Pg=0.93944247, dim=0, wall=284.8
DVR 14000/32134, Pg=0.92802892, dim=0, wall=305.4
DVR 15000/32134, Pg=0.91837828, dim=0, wall=326.8
DVR 16000/32134, Pg=0.91025404, dim=0, wall=347.7
DVR 17000/32134, Pg=0.90338286, dim=0, wall=369.1
DVR 18000/32134, Pg=0.89825679, dim=0, wall=390.3
DVR 19000/32134, Pg=0.89504930, dim=0, wall=412.2
DVR 20000/32134, Pg=0.89320342, dim=0, wall=433.6
DVR 21000/32134, Pg=0.89218659, dim=0, wall=455.6
DVR 22000/32134, Pg=0.89173864, dim=0, wall=478.9
DVR 23000/32134, Pg=0.89161097, dim=0, wall=501.1
DVR 24000/32134, Pg=0.89159047, dim=0, wall=522.5
DVR 25000/32134, Pg=0.89158935, dim=0, wall=544.5
DVR 26000/32134, Pg=0.89158932, dim=0, wall=549.8
DVR 27000/32134, Pg=0.89158932, dim=0, wall=552.5
DVR 28000/32134, Pg=0.89158935, dim=0, wall=555.5
DVR 29000/32134, Pg=0.89158932, dim=0, wall=558.3
DVR 30000/32134, Pg=0.89158932, dim=0, wall=561.0
DVR 31000/32134, Pg=0.89158935, dim=0, wall=563.7
DVR 32000/32134, Pg=0.89158933, dim=0, wall=566.4
DVR 32134/32134, Pg=0.89158934, dim=0, wall=566.8
