# time,ground_population
9.999608274325742840e+00,9.999993213074948040e-01
1.999921654865148568e+01,9.999822310445130036e-01
2.999882482297722675e+01,9.998768203049480663e-01
3.999843309730297136e+01,9.994761370798505018e-01
4.999804137162871598e+01,9.984340174541964652e-01
5.999764964595445349e+01,9.964744996419775402e-01
6.999725792028020521e+01,9.932992559540341215e-01
7.999686619460594272e+01,9.882578161014690110e-01
8.999647446893168024e+01,9.809664200586336591e-01
9.999608274325743196e+01,9.720867056550296370e-01
1.099956910175831695e+02,9.623184321164512944e-01
1.199952992919089070e+02,9.513903388311881759e-01
1.299949075662346445e+02,9.394424680624982038e-01
1.399945158405604104e+02,9.280289176136266027e-01
1.499941241148861479e+02,9.183782835746611140e-01
1.599937323892118854e+02,9.102540430654548764e-01
1.699933406635376230e+02,9.033828568980166729e-01
1.799929489378633605e+02,8.982567927756266446e-01
1.899925572121891264e+02,8.950493006189811362e-01
1.999921654865148639e+02,8.932034176609614518e-01
2.099917737608406014e+02,8.921865892000965248e-01
2.199913820351663389e+02,8.917386429941391857e-01
2.299909903094920764e+02,8.916109671373076973e-01
2.399905985838178140e+02,8.915904748199615648e-01
2.499902068581435799e+02,8.915893528458378459e-01
2.599898151324692890e+02,8.915893186152842320e-01
2.699894234067950833e+02,8.915893221681230330e-01
2.799890316811208208e+02,8.915893536274175357e-01
2.899886399554465584e+02,8.915893223991093741e-01
2.999882482297722959e+02,8.915893189391699281e-01
3.099878565040980334e+02,8.915893535460635011e-01
3.199874647784237709e+02,8.915893277841709930e-01
3.213274122871833924e+02,8.915893391858448203e-01
