# time,norm,ground_population
3.199675501988383353e+00,9.999997946595106102e-01,9.999567935532027718e-01
6.399351003976766705e+00,9.999777182850504431e-01,9.999207005202561671e-01
9.599026505965149170e+00,9.999507818261227365e-01,9.998914940195121615e-01
1.279870200795353341e+01,9.999246230041204386e-01,9.998654696890310056e-01
1.599837750994191587e+01,9.998994911688721121e-01,9.998368257311407437e-01
1.919805301193029834e+01,9.998742531455278026e-01,9.998062772147610078e-01
2.239772851391868258e+01,9.998503222032508742e-01,9.997629958741317546e-01
2.559740401590706682e+01,9.998262937713177090e-01,9.997148818149721450e-01
2.879707951789544751e+01,9.998015503237833723e-01,9.996315600048577554e-01
3.199675501988383175e+01,9.997763378437877213e-01,9.995503948270864081e-01
3.519643052187221599e+01,9.997511393533516921e-01,9.993942785101731507e-01
3.839610602386059668e+01,9.997259862034567623e-01,9.992555253954491512e-01
4.159578152584898447e+01,9.997006887363651950e-01,9.989808623788084541e-01
4.479545702783736516e+01,9.996755063635374139e-01,9.987468251533735408e-01
4.799513252982574585e+01,9.996501270532612837e-01,9.983043941340750127e-01
5.119480803181413364e+01,9.996240451158650009e-01,9.979206883041844556e-01
5.439448353380251433e+01,9.995963180362936740e-01,9.972687780071107788e-01
5.759415903579089502e+01,9.995651190509599049e-01,9.966616084879839077e-01
6.079383453777928281e+01,9.995275622421829764e-01,9.957744601772989812e-01
6.399351003976766350e+01,9.994797054308129924e-01,9.948525681855365788e-01
6.719318554175605129e+01,9.994166651953454439e-01,9.937227688823184746e-01
7.039286104374443198e+01,9.993322896997252069e-01,9.923889262497885833e-01
7.359253654573281267e+01,9.992188555532667271e-01,9.910248877211434992e-01
7.679221204772119336e+01,9.990672452513608137e-01,9.891911005676268243e-01
7.999188754970957405e+01,9.988673098519977867e-01,9.876092032429432122e-01
8.319156305169796894e+01,9.986080864054165396e-01,9.852186172657684260e-01
8.639123855368634963e+01,9.982774010140471610e-01,9.834276195589208847e-01
8.959091405567473032e+01,9.978620507664853756e-01,9.804771147775177553e-01
9.279058955766311101e+01,9.973485362488520023e-01,9.784664334844610512e-01
9.599026505965149170e+01,9.967235119952164712e-01,9.750154919384135255e-01
9.918994056163988660e+01,9.959733286720252599e-01,9.727537843844981102e-01
1.023896160636282673e+02,9.950844815320576409e-01,9.689220678643595264e-01
1.055892915656166480e+02,9.940443733132361404e-01,9.663636442601692966e-01
1.087889670676050287e+02,9.928418869465273078e-01,9.623195335529852734e-01
1.119886425695934093e+02,9.914667516742631248e-01,9.594199723925511680e-01
1.151883180715817900e+02,9.899103560200946950e-01,9.553519233425256107e-01
1.183879935735701849e+02,9.881666397857862272e-01,9.520918573181130773e-01
1.215876690755585656e+02,9.862317135937646029e-01,9.481755628059558294e-01
1.247873445775469463e+02,9.841036661891258142e-01,9.445784645756716280e-01
1.279870200795353270e+02,9.817830357675435549e-01,9.409506946887197243e-01
1.311866955815237077e+02,9.792737646336786561e-01,9.370941691634103732e-01
1.343863710835121026e+02,9.765816384579489862e-01,9.338345178532633239e-01
1.375860465855004691e+02,9.737153333128275579e-01,9.298504989981651869e-01
1.407857220874888640e+02,9.706859989010239165e-01,9.269808773466553520e-01
1.439853975894772589e+02,9.675078600735403933e-01,9.230345793886852723e-01
1.471850730914656253e+02,9.641964466174622883e-01,9.205305331205523300e-01
1.503847485934540202e+02,9.607699158905120829e-01,9.167979690447917163e-01
1.535844240954423867e+02,9.572484442615324385e-01,9.146091276289856076e-01
1.567840995974307816e+02,9.536534067165191031e-01,9.112474595301122138e-01
1.599837750994191481e+02,9.500069269410904571e-01,9.093192916033584483e-01
1.631834506014075430e+02,9.463323205531641857e-01,9.064408473787332055e-01
1.663831261033959379e+02,9.426530926804288502e-01,9.047340753630971344e-01
1.695828016053843044e+02,9.389922722058071658e-01,9.023933413607947429e-01
1.727824771073726993e+02,9.353727243715700412e-01,9.008896591789481434e-01
1.759821526093610657e+02,9.318167995301886997e-01,8.990829957329686817e-01
1.791818281113494606e+02,9.283452787454968824e-01,8.977832198612164527e-01
1.823815036133378555e+02,9.249777757034560732e-01,8.964599662651108192e-01
1.855811791153262220e+02,9.217323707924285348e-01,8.953740497732038950e-01
1.887808546173146169e+02,9.186250725913054360e-01,8.944524797484567635e-01
1.919805301193029834e+02,9.156694794065234344e-01,8.935891261460935375e-01
1.951802056212913783e+02,9.128772255107679978e-01,8.929777540561315563e-01
1.983798811232797732e+02,9.102578271768303475e-01,8.923319223102079700e-01
2.015795566252681397e+02,9.078179592565442935e-01,8.919444655710316860e-01
2.047792321272565346e+02,9.055621693234249259e-01,8.914951653948216537e-01
2.079789076292449010e+02,9.034924670787465306e-01,8.912598308110184497e-01
2.111785831312332959e+02,9.016085532299832339e-01,8.909718572538400938e-01
2.143782586332216908e+02,8.999078955268289270e-01,8.908341088743967351e-01
2.175779341352100573e+02,8.983861623489992621e-01,8.906650311441899337e-01
2.207776096371984522e+02,8.970370181952974642e-01,8.905865493641996755e-01
2.239772851391868187e+02,8.958521535194821084e-01,8.904941673970545590e-01
2.271769606411752136e+02,8.948222796224256648e-01,8.904489494918079728e-01
2.303766361431635801e+02,8.939367396528328236e-01,8.903992361529614596e-01
2.335763116451519750e+02,8.931841103365529833e-01,8.903699871434174185e-01
2.367759871471403699e+02,8.925520318685403742e-01,8.903394724769565505e-01
2.399756626491287363e+02,8.920281289963882809e-01,8.903160263626608284e-01
2.431753381511171312e+02,8.915997344544358549e-01,8.902918097196873548e-01
2.463750136531054977e+02,8.912544258828664079e-01,8.902693281536405712e-01
2.495746891550938926e+02,8.909801238116875632e-01,8.902463714812568485e-01
2.527743646570822875e+02,8.907653954136131036e-01,8.902238680664064097e-01
2.559740401590706540e+02,8.905996002921421351e-01,8.902010787229109878e-01
2.591737156610590205e+02,8.904730385483532462e-01,8.901785794328676005e-01
2.623733911630474154e+02,8.903771096254176065e-01,8.901558112491099184e-01
2.655730666650358103e+02,8.903042790866410039e-01,8.901332802222794438e-01
2.687727421670242052e+02,8.902482482840797795e-01,8.901105516420835251e-01
2.719724176690126001e+02,8.902038762413987394e-01,8.900879792907233634e-01
2.751720931710009381e+02,8.901671528492361984e-01,8.900652918644524902e-01
2.783717686729893330e+02,8.901350966805234854e-01,8.900426873308020514e-01
2.815714441749777279e+02,8.901056639698590178e-01,8.900200290879762832e-01
2.847711196769661228e+02,8.900775998937752176e-01,8.899974072680352233e-01
2.879707951789545177e+02,8.900503517700590894e-01,8.899747604171869275e-01
2.911704706809428558e+02,8.900237794562365634e-01,8.899521323318954069e-01
2.943701461829312507e+02,8.899978510072626969e-01,8.899294892264034695e-01
2.975698216849196456e+02,8.899725087012912983e-01,8.899068609975391286e-01
3.007694971869080405e+02,8.899476229979159658e-01,8.898842254408728669e-01
3.039691726888964354e+02,8.899230478641455555e-01,8.898615910473336443e-01
3.071688481908847734e+02,8.898986706517695300e-01,8.898389644770213769e-01
3.103685236928731683e+02,8.898744622986781705e-01,8.898163188218999320e-01
3.135681991948615632e+02,8.898504453627089639e-01,8.897937054713729310e-01
3.167678746968499581e+02,8.898266480346113116e-01,8.897710522981456815e-01
3.199675501988382962e+02,8.898030576356386057e-01,8.897484470722013539e-01
3.213274122871833924e+02,8.897930838512591034e-01,8.897388162668977696e-01
