# time,norm,ground_population
3.209674487932097087e+00,9.999999999851422183e-01,9.999999747249103121e-01
6.419348975864194173e+00,9.999999996806461233e-01,9.999999340008407511e-01
9.629023463796290372e+00,9.999999980963174551e-01,9.999994794213391547e-01
1.283869795172838835e+01,9.999999959512863024e-01,9.999982462863287180e-01
1.604837243966048632e+01,9.999999940802307696e-01,9.999936075456342666e-01
1.925804692759258074e+01,9.999999926509478554e-01,9.999865015740536656e-01
2.246772141552467872e+01,9.999999916370154729e-01,9.999661008452889188e-01
2.567739590345677669e+01,9.999999909256819253e-01,9.999431782087490062e-01
2.888707039138887112e+01,9.999999904062344402e-01,9.998839376085133512e-01
3.209674487932097264e+01,9.999999899851822471e-01,9.998278574515944150e-01
3.530641936725306351e+01,9.999999896608491312e-01,9.996954123938329717e-01
3.851609385518516149e+01,9.999999894054967253e-01,9.995772116134689078e-01
4.172576834311725946e+01,9.999999891974629129e-01,9.993310030149005208e-01
4.493544283104935744e+01,9.999999890226881627e-01,9.991043646147442781e-01
4.814511731898145541e+01,9.999999888800327197e-01,9.987060041918282005e-01
5.135479180691355339e+01,9.999999887613356675e-01,9.983026192064894389e-01
5.456446629484565136e+01,9.999999886573348595e-01,9.977249946455151175e-01
5.777414078277774223e+01,9.999999885601830174e-01,9.970545955843874708e-01
6.098381527070984021e+01,9.999999884600484501e-01,9.962852353790777604e-01
6.419348975864194529e+01,9.999999882949972552e-01,9.952462576391332139e-01
6.740316424657403616e+01,9.999999879146022064e-01,9.942803467441259091e-01
7.061283873450612703e+01,9.999999867511162321e-01,9.927820904452900885e-01
7.382251322243823211e+01,9.999999830774662923e-01,9.916090692279732055e-01
7.703218771037032297e+01,9.999999715283496293e-01,9.895965547016573050e-01
8.024186219830242806e+01,9.999999364992058215e-01,9.881847973857535994e-01
8.345153668623451892e+01,9.999998354151634627e-01,9.856625007738265554e-01
8.666121117416662401e+01,9.999995597161018823e-01,9.839482115815950669e-01
8.987088566209871487e+01,9.999988545020307429e-01,9.809929498774269119e-01
9.308056015003080574e+01,9.999971714701227921e-01,9.788848156642098175e-01
9.629023463796291082e+01,9.999934371972971636e-01,9.756329998135651049e-01
9.949990912589500169e+01,9.999857512078672572e-01,9.730366820292809527e-01
1.027095836138271068e+02,9.999710788104796411e-01,9.696554446339622491e-01
1.059192581017591976e+02,9.999450547935302414e-01,9.665062870644889337e-01
1.091289325896913027e+02,9.999019852821087184e-01,9.631562924469546649e-01
1.123386070776233936e+02,9.998350167857261717e-01,9.594529560367899279e-01
1.155482815655554845e+02,9.997362706501607965e-01,9.562476853909223085e-01
1.187579560534875895e+02,9.995967635411641128e-01,9.520785263389753839e-01
1.219676305414196804e+02,9.994061198499226695e-01,9.490625203701748003e-01
1.251773050293517855e+02,9.991525007192445518e-01,9.446025687653327729e-01
1.283869795172838906e+02,9.988229678312526838e-01,9.417560075872299930e-01
1.315966540052159814e+02,9.984042147481808627e-01,9.372389126463143150e-01
1.348063284931480723e+02,9.978829122128297646e-01,9.345002499119413608e-01
1.380160029810801632e+02,9.972455744927015697e-01,9.301782354273689934e-01
1.412256774690122541e+02,9.964783586445211672e-01,9.274799561161872763e-01
1.444353519569443733e+02,9.955676684202867666e-01,9.235720902752051487e-01
1.476450264448764642e+02,9.945010900037141166e-01,9.208786184820438869e-01
1.508547009328085551e+02,9.932678229862872410e-01,9.175304167038920156e-01
1.540643754207406459e+02,9.918583430105064602e-01,9.148590629179974565e-01
1.572740499086727368e+02,9.902643686240086840e-01,9.121280598113419291e-01
1.604837243966048561e+02,9.884797552115842656e-01,9.095467582994725131e-01
1.636933988845369470e+02,9.865011433136214869e-01,9.074076504435514279e-01
1.669030733724690378e+02,9.843277799250627069e-01,9.050177939248590375e-01
1.701127478604011287e+02,9.819609782881523197e-01,9.033865469198227860e-01
1.733224223483332480e+02,9.794046786884652578e-01,9.012930191516144163e-01
1.765320968362653389e+02,9.766659343903101309e-01,9.000622419317131362e-01
1.797417713241974297e+02,9.737547440354286099e-01,8.983410140230457808e-01
1.829514458121295206e+02,9.706831875712581548e-01,8.974100346190905242e-01
1.861611203000616115e+02,9.674656720304073421e-01,8.960909047074194778e-01
1.893707947879937308e+02,9.641191603388877818e-01,8.953823730232923772e-01
1.925804692759258216e+02,9.606627790489304930e-01,8.944463481804288962e-01
1.957901437638579125e+02,9.571169055166194317e-01,8.939104041321451755e-01
1.989998182517900034e+02,9.535031654118681921e-01,8.932986223198031706e-01
2.022094927397220943e+02,9.498444652517219478e-01,8.929065276197197809e-01
2.054191672276542135e+02,9.461643829055761401e-01,8.925403889779529587e-01
2.086288417155863044e+02,9.424864190356543325e-01,8.922717002944625664e-01
2.118385162035183953e+02,9.388338815981764895e-01,8.920729021616355947e-01
2.150481906914504862e+02,9.352297981518991055e-01,8.919061612103307279e-01
2.182578651793826054e+02,9.316962457621218441e-01,8.918093703110122616e-01
2.214675396673146963e+02,9.282539158236203791e-01,8.917196383840743090e-01
2.246772141552467872e+02,9.249220541003129181e-01,8.916783040160458640e-01
2.278868886431788781e+02,9.217182892134700989e-01,8.916387373946401684e-01
2.310965631311109689e+02,9.186581459071068156e-01,8.916241353939946546e-01
2.343062376190430882e+02,9.157548867423417338e-01,8.916110739420279874e-01
2.375159121069751791e+02,9.130195560871656735e-01,8.916073692166371911e-01
2.407255865949072700e+02,9.104608373179287062e-01,8.916047416091037459e-01
2.439352610828393608e+02,9.080848780234936912e-01,8.916042703277048398e-01
2.471449355707714517e+02,9.058953658557962196e-01,8.916040872287819274e-01
