# time,norm,ground_population
3.209874256058563358e+00,9.999999997753097336e-01,9.999999747264737282e-01
6.419748512117126715e+00,9.999999968506948500e-01,9.999999340070950815e-01
9.629622768175689629e+00,9.999999940028381218e-01,9.999994791245608861e-01
1.283949702423425343e+01,9.999999923542596258e-01,9.999982462607364120e-01
1.604937128029281723e+01,9.999999913374809646e-01,9.999936037598282645e-01
1.925924553635137926e+01,9.999999906251999526e-01,9.999865001986750768e-01
2.246911979240994484e+01,9.999999900943291609e-01,9.999660854617112848e-01
2.567899404846850686e+01,9.999999896982002534e-01,9.999431662950823974e-01
2.888886830452707244e+01,9.999999893839336407e-01,9.998838993021790245e-01
3.209874256058563446e+01,9.999999890897821597e-01,9.998277983258661017e-01
3.530861681664419649e+01,9.999999884552775997e-01,9.996953501488777816e-01
3.851849107270275852e+01,9.999999853357656177e-01,9.995770148396659893e-01
4.172836532876132765e+01,9.999999687222617117e-01,9.993309426564488396e-01
4.493823958481988967e+01,9.999998923020507746e-01,9.991038636684660412e-01
4.814811384087845170e+01,9.999995970239523579e-01,9.987059969311377072e-01
5.135798809693701372e+01,9.999986371936394614e-01,9.983015864739255285e-01
5.456786235299557575e+01,9.999959936427688101e-01,9.977250709017095875e-01
5.777773660905414488e+01,9.999897564795875438e-01,9.970528034082937197e-01
6.098761086511270690e+01,9.999769462869978476e-01,9.962852978387287672e-01
6.419748512117126893e+01,9.999535431582681211e-01,9.952435815231142069e-01
6.740735937722983806e+01,9.999145048068289743e-01,9.942800787688196307e-01
7.061723363328839298e+01,9.998535238943840886e-01,9.927785787765447401e-01
7.382710788934696211e+01,9.997627154116954795e-01,9.916076647520963849e-01
7.703698214540551703e+01,9.996327598641170376e-01,9.895925130408426140e-01
8.024685640146408616e+01,9.994533578353554937e-01,9.881815260382399435e-01
8.345673065752265529e+01,9.992133317098043088e-01,9.856593963982348550e-01
8.666660491358121021e+01,9.989002741665048424e-01,9.839435756469734340e-01
8.987647916963977934e+01,9.985007954503446470e-01,9.809932207247178404e-01
9.308635342569833426e+01,9.980012564923399498e-01,9.788805611320871014e-01
9.629622768175690339e+01,9.973881210755937143e-01,9.756387438568084880e-01
9.950610193781547252e+01,9.966476067550753548e-01,9.730349324560058077e-01
1.027159761938740274e+02,9.957660729893338392e-01,9.696677481715444413e-01
1.059258504499325966e+02,9.947310031722487178e-01,9.665093080758448973e-01
1.091357247059911515e+02,9.935310898932911972e-01,9.631756403174499548e-01
1.123455989620497206e+02,9.921562017023624058e-01,9.594635574637189190e-01
1.155554732181082898e+02,9.905978464005221751e-01,9.562754868778451378e-01
1.187653474741668447e+02,9.888502413645798850e-01,9.521005986215176353e-01
1.219752217302254138e+02,9.869094384694298006e-01,9.491012247132318835e-01
1.251850959862839687e+02,9.847739021406316517e-01,9.446398457226953260e-01
1.283949702423425379e+02,9.824445365892168214e-01,9.418081917681599968e-01
1.316048444984010928e+02,9.799255489461946578e-01,9.372944982651592039e-01
1.348147187544596761e+02,9.772230448502853273e-01,9.345688673862900808e-01
1.380245930105182310e+02,9.743461498914792740e-01,9.302552072355838586e-01
1.412344672665767860e+02,9.713065670847892408e-01,9.275683104652661104e-01
1.444443415226353409e+02,9.681186722638123188e-01,9.236725159770675653e-01
1.476542157786939242e+02,9.647986712503635598e-01,9.209893738962935394e-01
1.508640900347524791e+02,9.613651802790800227e-01,9.176559396920178635e-01
1.540739642908110341e+02,9.578387780400663409e-01,9.149945772858845139e-01
1.572838385468696174e+02,9.542410468500552856e-01,9.122796021273317235e-01
1.604937128029281723e+02,9.505948404137375407e-01,9.097081453544630936e-01
1.637035870589867272e+02,9.469235689633510589e-01,9.075855192500388302e-01
1.669134613150453106e+02,9.432510824867795796e-01,9.052052657004906466e-01
1.701233355711038655e+02,9.396005603764584491e-01,9.035907341966984418e-01
1.733332098271624204e+02,9.359952520733701986e-01,9.015057413038555234e-01
1.765430840832209753e+02,9.324572927594082516e-01,9.002921146545660447e-01
1.797529583392795587e+02,9.290078133143053751e-01,8.985774507244207454e-01
1.829628325953381136e+02,9.256662980625565140e-01,8.976643533134310848e-01
1.861727068513966685e+02,9.224506720313967456e-01,8.963489873960672760e-01
1.893825811074552519e+02,9.193766479802960578e-01,8.956588569634766905e-01
1.925924553635138068e+02,9.164578018126366965e-01,8.947238570483554421e-01
1.958023296195723617e+02,9.137055341028967881e-01,8.942058581820916396e-01
1.990122038756309450e+02,9.111287893199071508e-01,8.935931958135213682e-01
2.022220781316895000e+02,9.087340622061162998e-01,8.932170412241179358e-01
2.054319523877480549e+02,9.065253325587682154e-01,8.928495671432423730e-01
2.086418266438066098e+02,9.045042563647427425e-01,8.925932566833126858e-01
2.118517008998651932e+02,9.026700544247098223e-01,8.923939198444346133e-01
2.150615751559237481e+02,9.010198658666026539e-01,8.922351819339622292e-01
2.182714494119823030e+02,8.995487198251547190e-01,8.921391965462954765e-01
2.214813236680408863e+02,8.982498218883194774e-01,8.920533638338931093e-01
2.246911979240994413e+02,8.971146662956849260e-01,8.920138212388581955e-01
2.279010721801579962e+02,8.961334742287964117e-01,8.919752620790932784e-01
2.311109464362165795e+02,8.952952821065512934e-01,8.919625574459868478e-01
2.343208206922751344e+02,8.945882977553809567e-01,8.919491312211454970e-01
2.375306949483336894e+02,8.940001009530166298e-01,8.919466612512764181e-01
2.407405692043922443e+02,8.935180305686758473e-01,8.919434651428219674e-01
2.439504434604508276e+02,8.931293604634102934e-01,8.919433797907715400e-01
2.471603177165093825e+02,8.928216044373097349e-01,8.919429236907655545e-01
2.503701919725679375e+02,8.925827136294250952e-01,8.919428887507098169e-01
2.535800662286265208e+02,8.924013180141298074e-01,8.919428870616229466e-01
2.567899404846850757e+02,8.922668902016912540e-01,8.919428902806921799e-01
2.599998147407436591e+02,8.921698956441038719e-01,8.919428856690581053e-01
2.632096889968021856e+02,8.921018948306673746e-01,8.919428911171355390e-01
2.664195632528607689e+02,8.920556084127959640e-01,8.919428853197423068e-01
2.696294375089193522e+02,8.920249544283423981e-01,8.919428910327231730e-01
2.728393117649778787e+02,8.920050240041126344e-01,8.919428857203721694e-01
2.760491860210364621e+02,8.919920301035623167e-01,8.919428903392900843e-01
2.792590602770950454e+02,8.919832157430733766e-01,8.919428865410452545e-01
2.824689345331535719e+02,8.919767155919233748e-01,8.919428894769648730e-01
2.856788087892121553e+02,8.919714404797299823e-01,8.919428874133750185e-01
2.888886830452706818e+02,8.919669629377676712e-01,8.919428886337531504e-01
2.920985573013292651e+02,8.919631816621860221e-01,8.919428880722407582e-01
2.953084315573878484e+02,8.919600519754010692e-01,8.919428881100962547e-01
2.985183058134463749e+02,8.919574797532375809e-01,8.919428885059782486e-01
3.017281800695049583e+02,8.919553215603603924e-01,8.919428878196332677e-01
3.049380543255635416e+02,8.919534329815402840e-01,8.919428886066120832e-01
3.081479285816220681e+02,8.919517252899301640e-01,8.919428877674014933e-01
3.113578028376806515e+02,8.919501884589526863e-01,8.919428886110498667e-01
3.145676770937392348e+02,8.919488571191550585e-01,8.919428878478039557e-01
3.177775513497977613e+02,8.919477494605343448e-01,8.919428884675035807e-01
3.209874256058563446e+02,8.919468374627097518e-01,8.919428879238977537e-01
3.213274122871833924e+02,8.919467503536939734e-01,8.919428880424440376e-01
