ground E=-2.8972353188, residual=8.848e-10; (88, 88, 6), flux=0.029GiB
3D 100/1476, inner norm=1.00000000, Pg=0.99999908, wall=24.4s
3D 200/1476, inner norm=1.00000000, Pg=0.99997837, wall=48.8s
3D 300/1476, inner norm=1.00000000, Pg=0.99992643, wall=74.3s
3D 400/1476, inner norm=0.99999997, Pg=0.99988480, wall=101.0s
3D 500/1476, inner norm=0.99999853, Pg=0.99987465, wall=123.1s
3D 600/1476, inner norm=0.99998258, Pg=0.99987451, wall=143.0s
3D 700/1476, inner norm=0.99993250, Pg=0.99987451, wall=164.8s
3D 800/1476, inner norm=0.99988733, Pg=0.99987451, wall=186.1s
3D 900/1476, inner norm=0.99987613, Pg=0.99987451, wall=204.9s
3D 1000/1476, inner norm=0.99987482, Pg=0.99987451, wall=223.4s
3D 1100/1476, inner norm=0.99987459, Pg=0.99987451, wall=243.0s
3D 1200/1476, inner norm=0.99987453, Pg=0.99987451, wall=262.9s
3D 1300/1476, inner norm=0.99987453, Pg=0.99987451, wall=284.4s
3D 1400/1476, inner norm=0.99987452, Pg=0.99987451, wall=303.2s
3D 1476/1476, inner norm=0.99987452, Pg=0.99987451, wall=318.2s
