ground E=-2.8972353188, residual=8.848e-10; (88, 88, 6), flux=0.029GiB
3D 100/2952, inner norm=1.00000000, Pg=0.99999997, wall=10.5s
3D 200/2952, inner norm=1.00000000, Pg=0.99999908, wall=20.3s
3D 300/2952, inner norm=1.00000000, Pg=0.99999512, wall=35.5s
3D 400/2952, inner norm=1.00000000, Pg=0.99997836, wall=51.1s
3D 500/2952, inner norm=1.00000000, Pg=0.99995894, wall=66.5s
3D 600/2952, inner norm=1.00000000, Pg=0.99992640, wall=81.6s
3D 700/2952, inner norm=1.00000000, Pg=0.99989976, wall=94.4s
3D 800/2952, inner norm=0.99999997, Pg=0.99988474, wall=106.8s
3D 900/2952, inner norm=0.99999974, Pg=0.99987577, wall=118.4s
3D 1000/2952, inner norm=0.99999853, Pg=0.99987458, wall=128.0s
3D 1100/2952, inner norm=0.99999410, Pg=0.99987445, wall=136.7s
3D 1200/2952, inner norm=0.99998257, Pg=0.99987445, wall=145.6s
3D 1300/2952, inner norm=0.99996110, Pg=0.99987445, wall=154.3s
3D 1400/2952, inner norm=0.99993247, Pg=0.99987445, wall=163.1s
3D 1500/2952, inner norm=0.99990533, Pg=0.99987445, wall=172.0s
3D 1600/2952, inner norm=0.99988728, Pg=0.99987445, wall=181.1s
3D 1700/2952, inner norm=0.99987898, Pg=0.99987445, wall=190.3s
3D 1800/2952, inner norm=0.99987607, Pg=0.99987445, wall=199.2s
3D 1900/2952, inner norm=0.99987511, Pg=0.99987445, wall=208.1s
3D 2000/2952, inner norm=0.99987476, Pg=0.99987445, wall=217.4s
3D 2100/2952, inner norm=0.99987460, Pg=0.99987445, wall=226.4s
3D 2200/2952, inner norm=0.99987453, Pg=0.99987445, wall=236.2s
3D 2300/2952, inner norm=0.99987449, Pg=0.99987445, wall=245.8s
3D 2400/2952, inner norm=0.99987447, Pg=0.99987445, wall=255.1s
3D 2500/2952, inner norm=0.99987447, Pg=0.99987445, wall=264.4s
3D 2600/2952, inner norm=0.99987447, Pg=0.99987445, wall=274.1s
3D 2700/2952, inner norm=0.99987446, Pg=0.99987445, wall=283.7s
3D 2800/2952, inner norm=0.99987446, Pg=0.99987445, wall=293.2s
3D 2900/2952, inner norm=0.99987446, Pg=0.99987445, wall=302.7s
3D 2952/2952, inner norm=0.99987446, Pg=0.99987445, wall=307.5s
