3D 3400/10176, inner norm=0.96321545, Pg=0.94763023, wall=43.7s
3D 3600/10176, inner norm=0.95326008, Pg=0.93606653, wall=89.5s
3D 3800/10176, inner norm=0.94198340, Pg=0.92310415, wall=135.2s
3D 4000/10176, inner norm=0.92950198, Pg=0.90869562, wall=187.8s
3D 4200/10176, inner norm=0.91598530, Pg=0.89460577, wall=245.7s
3D 4400/10176, inner norm=0.90164817, Pg=0.87925511, wall=301.3s
3D 4600/10176, inner norm=0.88673899, Pg=0.86374853, wall=352.0s
3D 4800/10176, inner norm=0.87152769, Pg=0.84917955, wall=403.7s
3D 5000/10176, inner norm=0.85629195, Pg=0.83391639, wall=456.3s
3D 5200/10176, inner norm=0.84130319, Pg=0.81983166, wall=507.9s
3D 5400/10176, inner norm=0.82681557, Pg=0.80686039, wall=559.0s
3D 5600/10176, inner norm=0.81305518, Pg=0.79403758, wall=608.1s
3D 5800/10176, inner norm=0.80021230, Pg=0.78310853, wall=660.8s
3D 6000/10176, inner norm=0.78843683, Pg=0.77318754, wall=712.4s
3D 6200/10176, inner norm=0.77783493, Pg=0.76413734, wall=762.3s
3D 6400/10176, inner norm=0.76846884, Pg=0.75692235, wall=812.0s
3D 6600/10176, inner norm=0.76035852, Pg=0.75055198, wall=863.8s
3D 6800/10176, inner norm=0.75348444, Pg=0.74531390, wall=916.1s
3D 7000/10176, inner norm=0.74779228, Pg=0.74138336, wall=970.5s
3D 7200/10176, inner norm=0.74319834, Pg=0.73812441, wall=1026.1s
3D 7400/10176, inner norm=0.73959576, Pg=0.73577463, wall=1080.7s
3D 7600/10176, inner norm=0.73686142, Pg=0.73413782, wall=1134.9s
3D 7800/10176, inner norm=0.73486296, Pg=0.73294217, wall=1186.7s
3D 8000/10176, inner norm=0.73346583, Pg=0.73222118, wall=1233.9s
3D 8200/10176, inner norm=0.73253990, Pg=0.73178399, wall=1283.0s
3D 8400/10176, inner norm=0.73196540, Pg=0.73153616, wall=1329.4s
3D 8600/10176, inner norm=0.73163764, Pg=0.73142686, wall=1373.8s
3D 8800/10176, inner norm=0.73147034, Pg=0.73138113, wall=1414.0s
3D 9000/10176, inner norm=0.73139727, Pg=0.73136783, wall=1453.4s
3D 9200/10176, inner norm=0.73137206, Pg=0.73136574, wall=1493.0s
3D 9400/10176, inner norm=0.73136623, Pg=0.73136563, wall=1530.5s
3D 9600/10176, inner norm=0.73136564, Pg=0.73136563, wall=1562.6s
3D 9800/10176, inner norm=0.73136563, Pg=0.73136563, wall=1594.8s
3D 10000/10176, inner norm=0.73136563, Pg=0.73136563, wall=1627.6s
3D 10176/10176, inner norm=0.73136563, Pg=0.73136563, wall=1657.3s
