ground E=-2.8972353188, residual=1.013e-09; (76, 76, 6), flux=0.025GiB
3D 20/1476, inner norm=1.00000000, Pg=1.00000000, wall=3.2s
3D 100/1476, inner norm=1.00000000, Pg=0.99999908, wall=11.9s
3D 200/1476, inner norm=1.00000000, Pg=0.99997837, wall=27.6s
3D 300/1476, inner norm=1.00000000, Pg=0.99992643, wall=44.7s
3D 400/1476, inner norm=0.99999997, Pg=0.99988480, wall=60.6s
3D 500/1476, inner norm=0.99999856, Pg=0.99987465, wall=75.8s
3D 600/1476, inner norm=0.99998283, Pg=0.99987451, wall=90.0s
3D 700/1476, inner norm=0.99993297, Pg=0.99987451, wall=104.2s
3D 800/1476, inner norm=0.99988755, Pg=0.99987451, wall=118.9s
3D 900/1476, inner norm=0.99987616, Pg=0.99987451, wall=133.3s
3D 1000/1476, inner norm=0.99987482, Pg=0.99987451, wall=147.3s
3D 1100/1476, inner norm=0.99987460, Pg=0.99987451, wall=159.1s
3D 1200/1476, inner norm=0.99987454, Pg=0.99987451, wall=169.8s
3D 1300/1476, inner norm=0.99987453, Pg=0.99987451, wall=180.2s
3D 1400/1476, inner norm=0.99987453, Pg=0.99987451, wall=191.5s
3D 1476/1476, inner norm=0.99987453, Pg=0.99987451, wall=201.0s
