# electron_energy,probability_density
5.317509532119389926e-01,7.970439937696683207e-06
5.322212258045518896e-01,1.077277318025231766e-03
5.357193330310384694e-01,1.077277318025231766e-03
5.362402501508475305e-01,2.222969322628334191e-03
5.372314407886387144e-01,2.222969322628334191e-03
5.377017143066207261e-01,3.292271179418223594e-03
5.387471667395429265e-01,3.292271179418223594e-03
5.392174402575250491e-01,4.437947553524677728e-03
5.397383573773341103e-01,4.437947553524677728e-03
5.402086299699470073e-01,5.507268948435933148e-03
5.407295480151251832e-01,6.652945322542387283e-03
5.411998206077381912e-01,6.652945322542387283e-03
5.417243559208513304e-01,7.722266717453642702e-03
5.422452739660295062e-01,8.867943091559540858e-03
5.427155465586424032e-01,9.937244948349986673e-03
5.432364646038206901e-01,1.100656634326124123e-02
5.437067371964335871e-01,1.215224271736714025e-02
5.442276552416117630e-01,1.436724048638484894e-02
5.446979278342246600e-01,1.543654234317473964e-02
5.452224631473377991e-01,1.765154011219244659e-02
5.457433802671469714e-01,1.872084196898233729e-02
5.462136537851289830e-01,2.093583973800004772e-02
5.467381890982421222e-01,2.315083750701775814e-02
5.472048444229200559e-01,2.536581573791410124e-02
5.477293797360331951e-01,2.758081350693125308e-02
5.481996523286460921e-01,3.086511313273885421e-02
5.487205703738243789e-01,3.308011090175656116e-02
5.492414874936334401e-01,3.636441052756415881e-02
5.497117600862463371e-01,3.972508467068776999e-02
5.502362953993594763e-01,4.300938429649536765e-02
5.507029507240375210e-01,4.743937983453078849e-02
5.512274860371506602e-01,5.072367946033838615e-02
5.517484040823288360e-01,5.515365546025188109e-02
5.522186766749417330e-01,5.950727648097129535e-02
5.527432119880549832e-01,6.508294839311261348e-02
5.532098673127329169e-01,6.943654987571010184e-02
5.537344026258460561e-01,7.493584727053541339e-02
5.542046752184589531e-01,8.051151918267672458e-02
5.547255932636372400e-01,8.708011843429191989e-02
5.552465113088154158e-01,9.257941582911723144e-02
5.557167839014283128e-01,1.002936914548383240e-01
5.562377010212373740e-01,1.069386847618909037e-01
5.567079745392194967e-01,1.146529603876125514e-01
5.572325098523326359e-01,1.223672555514550148e-01
5.577027824449455329e-01,1.300815311771766625e-01
5.582237004901237087e-01,1.389415027151255921e-01
5.587446176099328810e-01,1.477250997357584805e-01
5.592148911279148926e-01,1.565850712737074102e-01
5.597394255156589171e-01,1.665143642065675667e-01
5.602096990336409288e-01,1.764436376013063801e-01
5.607306086186760741e-01,1.863728930215792501e-01
5.607306161534499900e-01,1.863729109960451935e-01
5.612008818460921811e-01,1.973714809728874253e-01
5.617217989659012423e-01,2.083700757625374933e-01
5.622463342790143814e-01,2.205143469262940137e-01
5.627166068716272784e-01,2.326586180900505341e-01
5.632375249168055653e-01,2.448028892538070267e-01
5.637077975094184623e-01,2.580164622743534308e-01
5.642287155545966382e-01,2.712300548330217609e-01
5.646989881472095352e-01,2.844436278535681928e-01
5.652235234603226743e-01,2.988028967863424201e-01
5.657444415055009612e-01,3.131621657191166475e-01
5.662147140981138582e-01,3.274450405964529076e-01
5.667356321432920341e-01,3.428736309241384173e-01
5.672059047359050421e-01,3.583022017137025284e-01
5.677304400490181813e-01,3.748764488773725367e-01
5.681970953736961150e-01,3.913743410618484297e-01
5.687216306868092541e-01,4.079485882255184381e-01
5.692425478066183153e-01,4.255921567841002839e-01
5.697128213246004380e-01,4.420900489685762325e-01
5.702337384444094992e-01,4.597336175271574676e-01
5.707040119623915109e-01,4.785228624598454883e-01
5.712285472755046500e-01,4.961664310184270010e-01
5.717494643953138223e-01,5.148793014337987861e-01
5.722197369879267193e-01,5.335921718491704047e-01
5.727406550331048951e-01,5.534507381767700407e-01
5.732109276257177921e-01,5.722399831094576728e-01
5.737318456708960790e-01,5.920985494370569757e-01
5.742021182635089760e-01,6.118807217092185891e-01
5.747266535766221152e-01,6.317392880368177810e-01
5.752475716218002910e-01,6.515978543644173060e-01
5.757178442144131880e-01,6.714564011538949329e-01
5.762387622595914749e-01,6.913149674814944579e-01
5.767090348522043719e-01,7.111735338090937608e-01
5.772335701653175111e-01,7.321014019934829475e-01
5.777038427579304081e-01,7.519599487829607964e-01
5.782247608031086950e-01,7.717421405932440859e-01
5.787456779229177561e-01,7.916007069208436109e-01
5.792159514408997678e-01,8.126049496225490332e-01
5.797368685607089400e-01,8.323871218947106465e-01
5.802071420786908407e-01,8.511763863655197326e-01
5.807316773918040909e-01,8.710349331549979146e-01
5.812019499844169879e-01,8.908934994825968845e-01
5.822437851494042249e-01,9.283192403133402326e-01
5.827140577420171219e-01,9.471085047841498739e-01
5.832385930551303721e-01,9.647520733427314976e-01
5.837052483798083058e-01,9.823956223631916673e-01
5.842297836929214450e-01,9.999628164044571665e-01
5.847000572109034566e-01,1.016537083106248796e+00
5.852209743307126288e-01,1.033111330269919081e+00
5.857455096438257680e-01,1.049609222454394697e+00
5.862121649685037017e-01,1.065037793243958975e+00
5.867367002816168409e-01,1.079397062176733035e+00
5.872069728742297379e-01,1.093756331109507096e+00
5.877278909194080248e-01,1.108039205986843578e+00
5.881981635120209218e-01,1.121252798545511631e+00
5.892399986770082698e-01,1.145541340873024394e+00
5.897102721949902815e-01,1.156616310179991114e+00
5.902348075081034207e-01,1.166469209057413803e+00
5.907050801007163177e-01,1.176398482452152727e+00
5.912259981458944935e-01,1.185258453990101657e+00
5.917469152657036657e-01,1.194042051010734573e+00
5.922171878583165627e-01,1.201756346174577494e+00
5.927417231714297019e-01,1.208401319943508634e+00
5.932119966894117136e-01,1.213900617338333987e+00
5.937329138092208858e-01,1.219399914733159118e+00
5.942031873272028974e-01,1.222684214358966903e+00
5.947241044470119586e-01,1.227114190358880474e+00
5.952450224921902455e-01,1.229329188127898043e+00
5.957189123527379948e-01,1.230398489984688037e+00
5.962398303979162817e-01,1.231544185896915833e+00
5.967101029905291787e-01,1.231544185896915833e+00
5.972310210357073545e-01,1.230398489984688037e+00
5.977012936283202515e-01,1.229329188127898043e+00
5.982222116734985384e-01,1.227114190358880474e+00
5.987467469866116776e-01,1.222684214358966903e+00
5.992170195792245746e-01,1.219399914733159118e+00
5.997379376244027505e-01,1.213900617338333987e+00
6.002082102170156475e-01,1.208401319943508634e+00
6.007291282621939343e-01,1.201756346174577494e+00
6.011994008548068313e-01,1.194042051010734573e+00
6.017203188999850072e-01,1.185258453990101657e+00
6.022448532877290317e-01,1.176398482452152727e+00
6.027151268057111544e-01,1.166469209057413803e+00
6.032360439255202156e-01,1.156616310179991114e+00
