# electron_energy,probability_density
5.262125832920974133e-01,7.970439937696683207e-06
5.281985816058651917e-01,7.970439937696683207e-06
5.302352244410847293e-01,7.970439937696683207e-06
5.322212229771084990e-01,1.077272194979382895e-03
5.342036040212579939e-01,1.077272194979382895e-03
5.362402468567551983e-01,2.222953019719046009e-03
5.382226279015523973e-01,3.292269693730181385e-03
5.402086255115005065e-01,5.507267212019364457e-03
5.422452690533158259e-01,9.937242676019386947e-03
5.442312675865634830e-01,1.543653945005555965e-02
5.462136477074134300e-01,2.315083373261116878e-02
5.481996462425118288e-01,3.308010597455470631e-02
5.502362900010309144e-01,4.736297927808461039e-02
5.522186701237316031e-01,6.500654566777068488e-02
5.542046684374992704e-01,8.822578819230883496e-02
5.562413121960184670e-01,1.157222524996777691e-01
5.582236923196445266e-01,1.487943879170655903e-01
5.602096908519668128e-01,1.896571921972192987e-01
5.622463346104858983e-01,2.359428992627400912e-01
5.642287147350373289e-01,2.888735839211759582e-01
5.662147130478796253e-01,3.483728773935870215e-01
5.681970940966560857e-01,4.134478513027730617e-01
5.702337369318755123e-01,4.850913996496625802e-01
5.722197354614217968e-01,5.600956411413217095e-01
5.742021162971957526e-01,6.394534883344998866e-01
5.762387593472684255e-01,7.199570266568552368e-01
5.782247578758892281e-01,7.993148738500334138e-01
5.802107559729531294e-01,8.786727359231056855e-01
5.822437815441067199e-01,9.536769775319937636e-01
5.842297800764290061e-01,1.023181926846565171e+00
5.862121609066507366e-01,1.083826901143716714e+00
5.881981594371223920e-01,1.136681206773483499e+00
5.902348024945979210e-01,1.178613317442749331e+00
5.922208005824081134e-01,1.207255472918371764e+00
5.942031816339605754e-01,1.223829722770813033e+00
5.962398246877347319e-01,1.227114017351458974e+00
5.982258229968755447e-01,1.217184749741632377e+00
6.002082040493071924e-01,1.194041881816842121e+00
6.022448471040529050e-01,1.157685451740656069e+00
6.042272279305732630e-01,1.110254044227017456e+00
6.062132262452663012e-01,1.052893369197335449e+00
6.081992247738872148e-01,9.878947938718120048e-01
6.102358676155842376e-01,9.161748469021837593e-01
6.122182486615845853e-01,8.390320019199798418e-01
6.142042471976083551e-01,7.596741397101411941e-01
6.162408900300516690e-01,6.802399181594874777e-01
6.182232708565720269e-01,6.008820755808417235e-01
6.202092693925957967e-01,5.248085127224862978e-01
6.222459122250392216e-01,4.520192640564312248e-01
6.242282932738156820e-01,3.836600103683401874e-01
6.262142918070633391e-01,3.219457194362546071e-01
6.281966728539889466e-01,2.657307401561427862e-01
6.302333154660270109e-01,2.160843352355827918e-01
6.322193140020508917e-01,1.730829274648841010e-01
6.342016950508272410e-01,1.355808118126587136e-01
6.362383378897481512e-01,1.047236737572552340e-01
6.382243364165183230e-01,7.936581299904589548e-02
6.402067165401443827e-01,5.950726848780518718e-02
6.422433603014395809e-01,4.300938292285933634e-02
6.442293586142818773e-01,3.086510845626496899e-02
6.462117396667597102e-01,2.093583622018327720e-02
6.481977372683794814e-01,1.436723779075073544e-02
6.502343810296746796e-01,8.791566485350234619e-03
6.522167611523754793e-01,5.507267212019364457e-03
6.542027596819215418e-01,3.292269693730181385e-03
6.562394032265129740e-01,2.222953019719046009e-03
6.582217842762148052e-01,1.077272194979382895e-03
