energy_au,total_recorded_SI,n1_l0_m+0,n2_l0_m+0,n2_l1_m-1,n2_l1_m+0,n2_l1_m+1
1.000000000000000021e-02,6.905002252077545311e-02,3.980914998406457662e-03,3.499448719628583254e-02,3.803444963088877320e-03,2.564629171198122559e-02,6.248836510130512069e-04
1.499999999999999944e-02,4.568504843804287174e-02,3.641074408349356285e-03,1.637112263873415768e-02,3.005452681062768285e-03,2.264341919860817301e-02,2.397951128842026132e-05
1.999999999999999695e-02,3.218070263545490944e-02,2.510481805775986470e-03,8.432960215135173326e-03,2.540152003413475180e-03,1.868292146523582026e-02,1.418714589445348695e-05
2.499999999999999792e-02,2.152573630239099090e-02,1.697787344519651603e-03,5.203511937678947583e-03,1.823163552894615548e-03,1.279189193711629050e-02,9.381530181486097796e-06
2.999999999999999889e-02,1.370437979535778228e-02,9.811272331576013396e-04,3.437885632972735757e-03,1.176224040399003823e-03,8.094950677160449304e-03,1.419221166799170481e-05
3.499999999999999639e-02,8.264778890085863056e-03,5.100855511213618371e-04,2.234587219695242585e-03,6.679895486163687146e-04,4.838471349798520449e-03,1.364522085436908177e-05
3.999999999999999389e-02,4.630523586075508541e-03,2.355877618239074988e-04,1.354825967869383420e-03,3.229046739528631865e-04,2.708119449967356929e-03,9.085732461997826845e-06
4.499999999999999833e-02,2.353144626675496807e-03,9.502665943270655470e-05,7.400267862795791712e-04,1.274719725349556573e-04,1.386535695757811978e-03,4.083512670443811767e-06
4.999999999999999584e-02,1.055011605858864176e-03,3.276524455361694266e-05,3.551913326181391217e-04,3.838079206279578534e-05,6.277693351629565514e-04,9.049014613557666648e-07
5.499999999999999334e-02,4.051126935564667133e-04,9.366466797278692226e-06,1.469042788537795871e-04,7.583831480150360184e-06,2.402998026913729214e-04,9.583137338851381522e-07
5.999999999999999084e-02,1.329533964681435792e-04,2.108297556159778605e-06,5.189473479963703170e-05,1.004785695072078679e-06,7.479930846341002033e-05,3.146269953864680465e-06
6.499999999999998834e-02,4.575022007845832667e-05,3.468279192951544120e-07,1.632488593212047897e-05,1.464849472438244929e-06,2.284930245215913031e-05,4.764354302445322600e-06
6.999999999999999278e-02,2.854188340841349545e-05,5.328682731349057349e-08,5.420046121704483763e-06,2.777070082226470092e-06,1.571104293553035741e-05,4.580437441638689935e-06
7.499999999999998335e-02,2.761096357750892271e-05,3.200647885980141542e-08,2.104482891978784065e-06,3.527449247802024495e-06,1.793316032562448654e-05,4.013864633243824094e-06
7.999999999999998779e-02,2.614802193970739645e-05,3.087034730246600177e-08,6.158830248400819213e-07,3.672990086172391597e-06,1.694763385350490622e-05,4.880644627887547072e-06
8.499999999999997835e-02,2.236620796124477793e-05,2.596906258276477467e-08,1.655087642091405286e-07,3.375558421492478689e-06,1.218723711681063121e-05,6.611934596149765474e-06
8.999999999999998279e-02,1.711012716592957128e-05,2.231129429695801343e-08,9.083364238847335772e-07,2.786111294430120353e-06,6.729812309561116129e-06,6.663555843756641875e-06
9.499999999999998723e-02,1.134026858222551769e-05,2.027103974232487095e-08,2.444403306967140710e-06,2.045445407230305721e-06,2.826927647331879377e-06,4.003221180953866058e-06
9.999999999999997780e-02,7.427566195979993534e-06,1.778193952622632273e-08,3.970771729864626244e-06,1.290043546626939193e-06,8.609032870857010451e-07,1.288065692876500438e-06
1.049999999999999822e-01,7.850316076706316542e-06,1.447709246770277028e-08,4.898777385665187705e-06,6.468352976907310430e-07,1.589348850111308002e-07,2.131291415871565688e-06
1.099999999999999728e-01,1.141222155156071264e-05,1.207904669836661127e-08,5.128821839786755592e-06,2.153615408141535555e-07,3.564320102004006978e-08,6.020315923241395959e-06
1.149999999999999772e-01,1.298240053651135954e-05,1.218646612768734024e-08,4.867423068753343067e-06,4.135256576674115571e-08,2.115303320279197169e-07,7.849908103835667744e-06
1.199999999999999817e-01,9.561684031450787188e-06,1.469311791785789386e-08,4.323998658689551334e-06,1.034585795813895134e-07,6.494974186739055968e-07,4.470036256588082052e-06
1.249999999999999722e-01,5.830593232321070947e-06,1.856712910581183374e-08,3.593279174542633467e-06,3.315987564989080359e-07,1.273450569499573796e-06,6.136976026741436026e-07
1.299999999999999767e-01,9.725079572354584380e-06,2.313269991495915246e-08,2.727002368252539499e-06,6.441542206274687355e-07,1.895815946157511444e-06,4.434974337402104616e-06
1.349999999999999811e-01,2.059459958158752429e-05,2.768252793195377582e-08,1.823479870553427212e-06,9.739657112502274407e-07,2.336161797100085396e-06,1.543330967475183094e-05
1.399999999999999856e-01,2.611496370532853507e-05,3.061552025625996499e-08,1.022934079281910606e-06,1.270246247671468508e-06,2.535382094958622717e-06,2.125578576316027301e-05
1.449999999999999900e-01,1.749132592384006340e-05,3.062865735656944689e-08,4.410792284389196438e-07,1.491197172347468291e-06,2.546872062313028864e-06,1.298154880338407802e-05
1.499999999999999944e-01,6.475750945316391517e-06,2.951623116622423563e-08,1.296043429739241706e-07,1.609486101844819530e-06,2.435852394233231944e-06,2.271291875098191477e-06
1.549999999999999989e-01,1.600877329156660377e-05,2.965120365349828728e-08,6.056003655059063861e-08,1.598610205457271261e-06,2.223992836820398912e-06,1.209595900908484365e-05
1.599999999999999756e-01,4.668494882467199794e-05,3.340247095427446640e-08,1.978496043745833349e-07,1.507566807588483079e-06,1.881219713854990528e-06,4.306491022789966493e-05
1.649999999999999800e-01,6.378106122340814323e-05,3.290039594724450896e-08,4.733837141010659534e-07,1.317741114410385726e-06,1.537188724473526192e-06,6.041984727447592641e-05
1.699999999999999845e-01,3.905213799544536389e-05,2.465759075228730254e-08,8.558700736635456000e-07,1.073506398707799252e-06,1.128004394368624391e-06,3.597009953795310525e-05
