energy_au,total_recorded_SI,n1_l0_m+0,n2_l0_m+0,n2_l1_m-1,n2_l1_m+0,n2_l1_m+1
1.000000000000000021e-02,2.751592816758627908e-12,1.486268589262797292e-12,6.587265752840141660e-16,6.650671231696622935e-18,4.081095861007546649e-18,1.264654769153454107e-12
1.499999999999999944e-02,3.194373309113758996e-12,1.087769300841732124e-12,1.160448557945153436e-15,3.526815375572474515e-16,1.746781771992749997e-16,2.104916199999325198e-12
1.999999999999999695e-02,4.017465343844499108e-12,1.143201220762032337e-12,6.948550511283628924e-16,2.353697543496388728e-16,1.186665892019953944e-16,2.873215231687786574e-12
2.499999999999999792e-02,5.175495609998732451e-12,1.768406702789537417e-12,2.160255817119072860e-16,5.231784990126896485e-17,2.589348690648364616e-17,3.406794670290675525e-12
2.999999999999999889e-02,6.174280263417275415e-12,2.454429592960145146e-12,9.360836754066315142e-16,2.676398878420145572e-16,1.335850178358071687e-16,3.718513361876045302e-12
3.499999999999999639e-02,6.381746292843881018e-12,2.636079870900587942e-12,4.497403843622010444e-16,8.218463129916764488e-17,4.113733325930926456e-17,3.745093359594372266e-12
3.999999999999999389e-02,6.352151971400299077e-12,2.786194042607169585e-12,1.334888727252735361e-16,4.786523318993054053e-17,2.382453286845992687e-17,3.565752750154346127e-12
4.499999999999999833e-02,6.103286580580737156e-12,2.713909585784386473e-12,8.645359723691733136e-16,2.654491268720356222e-16,1.327498437219644909e-16,3.388114259853387795e-12
4.999999999999999584e-02,5.882362513005925781e-12,2.644347508228474773e-12,5.134982665969950418e-16,1.217169325581006843e-16,6.110110080918693789e-17,3.237318688477486592e-12
5.499999999999999334e-02,6.069872051597105056e-12,3.002291954125204684e-12,2.088566866258272496e-16,1.371802633860107937e-17,6.695994029138272624e-18,3.067350826764907293e-12
5.999999999999999084e-02,6.246595016019745200e-12,3.317750868352519088e-12,8.829414083484361233e-16,1.919350841184378472e-16,9.556054551404490827e-17,2.927673710629244921e-12
6.499999999999998834e-02,6.284016756724153883e-12,3.435513161915215596e-12,5.351925169132502538e-16,1.102139735873594325e-16,5.499049411724075127e-17,2.847803197824320181e-12
6.999999999999999278e-02,6.373372790167789477e-12,3.580787514887820730e-12,6.110548462061856837e-17,8.981057579737580226e-18,4.468658053070509978e-18,2.792510720079715043e-12
