energy_au,total_recorded_SI,n1_l0_m+0,n2_l0_m+0,n2_l1_m-1,n2_l1_m+0,n2_l1_m+1
1.000000000000000021e-02,6.669277572087073391e-02,7.915155042687712627e-07,2.689794266189952238e-02,5.448781312096589655e-03,2.889647891943589175e-02,5.448781311934468470e-03
1.499999999999999944e-02,5.633763425492886029e-02,9.707498862223772678e-07,2.041223786069730484e-02,3.818113859796267752e-03,2.828819792479025236e-02,3.818113859758807700e-03
1.999999999999999695e-02,4.689805550944241286e-02,8.800689072244527436e-07,9.109793040469035819e-03,4.643488234298880080e-03,2.850040593143985529e-02,4.643488234327419750e-03
2.499999999999999792e-02,3.032886749934367646e-02,5.655450237295421489e-07,7.295515042532175511e-03,3.007323293009189075e-03,1.701814032575045543e-02,3.007323293028125316e-03
2.999999999999999889e-02,1.350796542490622677e-02,8.521956603824281766e-07,5.257202071004640417e-03,7.741169419868353628e-04,6.701677274267724485e-03,7.741169419866425917e-04
3.499999999999999639e-02,6.025214048952145379e-03,1.913070017241264973e-06,1.854904185193406718e-03,1.370618872214748982e-04,3.894273019294606890e-03,1.370618872254150515e-04
3.999999999999999389e-02,4.547675413779309582e-03,2.252505803381732775e-06,1.166853654504202819e-03,2.180455887492841241e-04,2.942478075958824407e-03,2.180455887636167619e-04
4.499999999999999833e-02,3.317454126353294643e-03,1.193133033167023179e-06,1.574180839103206083e-03,1.239659008318215146e-04,1.494148352541042847e-03,1.239659008440571969e-04
4.999999999999999584e-02,1.835664604538121691e-03,1.360887672242002744e-07,9.975009766284722267e-04,2.710156924834175926e-05,7.838244006437630881e-04,2.710156925032039435e-05
5.499999999999999334e-02,9.289092250389037507e-04,6.494533491936077576e-07,2.855530518963379435e-04,5.088282740673079525e-05,5.409410649844825000e-04,5.088282740215895863e-05
5.999999999999999084e-02,4.547994386924288264e-04,2.348769581808922337e-06,1.145143799170966108e-04,6.888260075527760532e-05,2.001710876876076006e-04,6.888260075063810093e-05
6.499999999999998834e-02,2.767829509608323718e-04,3.002100384953930344e-06,9.378888109695671105e-05,6.119567335200338642e-05,5.760062277738926703e-05,6.119567334952910154e-05
6.999999999999999278e-02,3.023935103047206024e-04,1.624434023998345355e-06,3.393075037672781732e-05,6.633054883074489933e-05,1.341772282437945509e-04,6.633054882945499690e-05
