energy_au,total_recorded_SI,n1_l0_m+0,n2_l0_m+0,n2_l1_m-1,n2_l1_m+0,n2_l1_m+1,n3_l0_m+0,n3_l1_m-1,n3_l1_m+0,n3_l1_m+1,n3_l2_m-2,n3_l2_m-1,n3_l2_m+0,n3_l2_m+1,n3_l2_m+2
1.000000000000000021e-02,7.475145565140331461e-02,5.992361383411961770e-03,1.891222149300347821e-02,7.763625632189408154e-03,4.152947531095751987e-02,5.537718177301009662e-04,1.291117756497091504e-12,4.864727177726277436e-13,2.827755731272534430e-12,2.169195448676793228e-13,2.048759343580013547e-13,1.151803923088552660e-12,6.649333882052254446e-12,1.107442976558874447e-12,1.751145967613750259e-13
1.499999999999999944e-02,5.244551099000610561e-02,4.854303216280195059e-03,8.106689749214485846e-03,5.370324333730625704e-03,3.407584958928864399e-02,3.834408758802541233e-05,6.089360415337324872e-13,3.471632109567203298e-13,2.898693730808845327e-12,9.762677037712030478e-14,2.575426103612310491e-13,1.184399698272089484e-12,7.158694607041407573e-12,1.130626121355798442e-12,2.204504576172299875e-13
1.999999999999999695e-02,3.104507916446279034e-02,2.736938282811730155e-03,4.751579181215669773e-03,2.881873923686982877e-03,2.061809512400869862e-02,5.659264078081015670e-05,5.137183712933149462e-13,2.359112796411022389e-13,2.628436144881054429e-12,1.296250418055463629e-13,2.087615998108536225e-13,1.031552101452717354e-12,6.041741483215746570e-12,9.903062583883427715e-13,1.788449628070660994e-13
2.499999999999999792e-02,1.762711048617714160e-02,1.521593338032437015e-03,3.082541512637657424e-03,1.454835297269537571e-03,1.154460867729987031e-02,2.353165187037878090e-05,4.600743051641563540e-13,1.916151696501398796e-13,2.434763683294397000e-12,1.521723599229399279e-13,1.161115763879017297e-13,7.399183359466573905e-13,4.153202563894620029e-12,7.196376425656898167e-13,9.976733018779948508e-14
2.999999999999999889e-02,9.719553637655297187e-03,7.838565536913232436e-04,2.099386736319867018e-03,7.130485616578822929e-04,6.113649665032962373e-03,9.612114840297507926e-06,3.848395679389635028e-13,1.782220362911059146e-13,2.174426082638763158e-12,1.581653281484961407e-13,3.992201794123384925e-14,4.481985316638912184e-13,2.251083696512209761e-12,4.433547111869302122e-13,3.475369469086048242e-14
3.499999999999999639e-02,5.252790485083901235e-03,3.769145087592329878e-04,1.447800416828849170e-03,3.439138787586131841e-04,3.080210144364881920e-03,3.951532664076414333e-06,2.703502376330157719e-13,1.681131978664736367e-13,1.690618983437065678e-12,1.502965464631964842e-13,6.927032222570751421e-15,2.444329807562342676e-13,9.260840022958489937e-13,2.447229360318870127e-13,6.703156525188501941e-15
3.999999999999999389e-02,2.795305761617870866e-03,1.632568342904340975e-04,9.716649724538392553e-04,1.640255002582725126e-04,1.494679726962386832e-03,1.678725525401073347e-06,1.444168326641799820e-13,1.354680022539902611e-13,1.095277272861574131e-12,1.191493469458204523e-13,1.260332668863605815e-14,1.482246682336275474e-13,3.146066469235084504e-13,1.462838807616772299e-13,1.150676852970015484e-14
4.499999999999999833e-02,1.471928839721059132e-03,6.201085763787385666e-05,6.126865290414190528e-04,7.667653616524807304e-05,7.194699674253324760e-04,1.084947987064383915e-06,6.574626863735920959e-14,8.157309430534118274e-14,7.195603295603002347e-13,7.025707918045229566e-14,4.149189742749964153e-14,1.367627804233074764e-13,1.830939761523321674e-13,1.294762453489749321e-13,3.615976526319289433e-14
4.999999999999999584e-02,7.668303102377195491e-04,1.994833946580330613e-05,3.537043854483885256e-04,3.482600852247197539e-05,3.558136743453320871e-04,2.537900849981991015e-06,6.941147468831974100e-14,4.611019096430518213e-14,7.094413538787864356e-13,4.059082513417755040e-14,7.643892599045406808e-14,1.903488831297359101e-13,2.304278586014057215e-13,1.765528148995665657e-13,6.641927202992762935e-14
5.499999999999999334e-02,3.927340776588082553e-04,5.173733251487207138e-06,1.825672237881671039e-04,1.576618315357134417e-05,1.841949823159796354e-04,5.031953098449418071e-06,1.163374048242579901e-13,5.750874117378916747e-14,7.979316786682216587e-13,5.582661029912719336e-14,9.963357995341947985e-14,2.904002166321257453e-13,2.744566413013843381e-13,2.723504268362288166e-13,8.670837325462930548e-14
5.999999999999999084e-02,1.998866512207565229e-04,1.040276516144901248e-06,8.160069436458518950e-05,7.770319066184590799e-06,1.032099300741179626e-04,6.265429160398519769e-06,1.176058525966193702e-13,8.803652036012061182e-14,6.117610415808787939e-13,8.837244761287665321e-14,1.201003667352404371e-13,3.275890807217549033e-13,2.705851478554402938e-13,3.099386135415233312e-13,1.053362758692729091e-13
6.499999999999998834e-02,1.106008333514533061e-04,2.426679712885192082e-07,3.029436221878555610e-05,4.567792571664028902e-06,7.039228658903037947e-05,5.103722098339441946e-06,1.005823409642799873e-13,8.621591799572392001e-14,2.786005190074476881e-13,8.753522774741457572e-14,1.200143060930242503e-13,3.524315099723223540e-13,4.374985074001866141e-13,3.331713540012504939e-13,1.062957022699845427e-13
6.999999999999999278e-02,7.872702256700727058e-05,1.831379071177248894e-07,9.773407831808261309e-06,3.076074198254740788e-06,6.271206262362138181e-05,2.982338518303518990e-06,9.997478485728354382e-14,8.045209172884190269e-14,1.717974507953151275e-13,8.047613133578198654e-14,8.902282728609173964e-14,2.922001294455061318e-13,3.164702590108918074e-13,2.784082283193165693e-13,7.909975233406048549e-14
7.499999999999998335e-02,7.266755616471915142e-05,1.788401810517028912e-07,5.696837571955782925e-06,2.071119190175210360e-06,6.238460329977883159e-05,2.336154572481903017e-06,5.454968232919801612e-14,1.008254132257297179e-13,2.592721970376783868e-13,2.111971751337973059e-13,6.269572619320517494e-14,2.172041572686155706e-13,1.793153335284532889e-13,2.086656136916749678e-13,5.555043853591971531e-14
7.999999999999998779e-02,7.201044442915005377e-05,1.429239408492681983e-07,9.302334405311077974e-06,1.242167666075773412e-06,5.770826370376121704e-05,3.614749426491540235e-06,1.968028628639618990e-12,1.337985511076851782e-13,4.353677053103162411e-13,2.327182777977079340e-12,4.118175189026417959e-14,1.233862431634300868e-13,1.005606049044300199e-13,1.197316736192905520e-13,3.742323438596503296e-14
8.499999999999997835e-02,6.728589344921373191e-05,1.014358261450473909e-07,1.642236726573082070e-05,6.025382801670364872e-07,4.561913780424319367e-05,4.540216066047324370e-06,3.682351286550305025e-11,2.940674284398128724e-12,1.406683634675801319e-12,1.568366266410534480e-10,1.786496421765010793e-14,4.808332181688110923e-14,6.818864178698015612e-14,4.742562038177215003e-14,1.782033243485024990e-14
8.999999999999998279e-02,5.816485896764475485e-05,7.104064425842224770e-08,2.508959536779476436e-05,2.047330939601540956e-07,2.975280877191822070e-05,3.045048046648565583e-06,1.824108601658143239e-10,2.520007313895809472e-11,8.735183742768947521e-12,1.416549773531226015e-09,1.081162834021727480e-14,3.157698244430348567e-14,6.041955245367649548e-14,3.179403932709707977e-14,1.257184130028114386e-14
9.499999999999998723e-02,4.953961039028824848e-05,5.167109983295461949e-08,3.344503158576810184e-05,4.803527996053252918e-08,1.546783784331389570e-05,5.219033822004948369e-07,3.772084186443695483e-10,7.936084540890116256e-11,2.672497530586473841e-11,4.645748312797281360e-09,2.828950810383464852e-14,4.840409045474609755e-14,2.161097781250804998e-13,2.866076826620447149e-13,1.577249047613383222e-12
9.999999999999997780e-02,4.605406648094034425e-05,3.890248569295091656e-08,3.931376915898415883e-05,7.743122626317940961e-08,5.913898743412691845e-06,7.024787763829500885e-07,3.692597824933999132e-10,1.148007684800819898e-10,3.850201507201415298e-11,7.022471840921780270e-09,1.066007643269615234e-13,4.382200514076149532e-14,3.561202911570657611e-12,5.235453189463257137e-12,3.210871856587650855e-11
1.049999999999999822e-01,4.726262121431616236e-05,3.101573658348372111e-08,4.113880782710846809e-05,2.142567038305780803e-07,1.263381871850681156e-06,4.609471515499414634e-06,1.701649615996501334e-10,8.100079116615641830e-11,2.721938968812728020e-11,5.191964226614593722e-09,2.207354647155329055e-14,4.501784269797188966e-14,1.931967668951871857e-11,2.894141560359865124e-11,1.688818907822635500e-10
1.099999999999999728e-01,4.746411304553581432e-05,2.923389454199467596e-08,3.881248874194744654e-05,3.882243316106879966e-07,1.922507403802061722e-07,8.039576260426145593e-06,3.208688278540483056e-11,2.657550980143669600e-11,9.074943416472316034e-12,1.785675627182487334e-09,3.338760961568820765e-14,7.178845720355853528e-14,4.492082607306172630e-11,6.727378331416475756e-11,3.733638807069123847e-10
1.149999999999999772e-01,4.185676850103379961e-05,3.494268100538510942e-08,3.346706060180186645e-05,5.539100458950370764e-07,1.463668693710622421e-06,6.336428429136448234e-06,1.483865208599492910e-12,3.272380935792218147e-12,1.216538099950043116e-12,2.295845327161156946e-10,4.557456200632450692e-14,1.024004060594714921e-13,5.009692450699479954e-11,7.496661811576656332e-11,3.972806498866197985e-10
1.199999999999999817e-01,3.338596491554581371e-05,4.756823411293859009e-08,2.659524769481672645e-05,6.878580548463009006e-07,4.376522016830651937e-06,1.678491515472075529e-06,2.503423932401850679e-14,6.772897716373486517e-14,8.912402714066710545e-14,4.384068532922381968e-12,5.451501119929200019e-14,1.154286051051469408e-13,2.707210207767032250e-11,4.036115862754331145e-11,2.052303070117164460e-10
1.249999999999999722e-01,3.090215433626040915e-05,6.440188701097806013e-08,1.939635741184665867e-05,7.766927548049463018e-07,8.354090598065306422e-06,2.310549206958510244e-06,4.814981567229387371e-14,1.274654865720067093e-14,8.221697620715160844e-14,1.848906275867166006e-13,5.830173564240734929e-14,1.180945488045319931e-13,6.458485734436663265e-12,9.446002303079190790e-12,4.606868570298593098e-11
1.299999999999999767e-01,3.774822229022650071e-05,8.147188419510627646e-08,1.269524659377382383e-05,8.104593809509987705e-07,1.257830405038307361e-05,1.158273553930044379e-05,7.013946663671537213e-14,1.218955323818025058e-14,1.504386047972889559e-13,1.269196306181395005e-14,5.522884185744359722e-14,1.165982202728518363e-13,6.201421672419459024e-13,7.359436023813956812e-13,3.068250635747903772e-12
1.349999999999999811e-01,4.431705167763842182e-05,9.464722681759571974e-08,7.118918675395245711e-06,7.855160843963701708e-07,1.612795271510263000e-05,2.019001624769789754e-05,6.083954267160294452e-14,1.383975663336404892e-14,1.647836823933344904e-13,1.816669951673295232e-14,4.897745905786082051e-14,1.077756757468545907e-13,1.722172389213983748e-13,9.848207955129370027e-14,4.314654711566294480e-14
1.399999999999999856e-01,3.831147697611290970e-05,1.012790844882612933e-07,3.155195179682005801e-06,7.094453777065001248e-07,1.837316370798111940e-05,1.597239299847522950e-05,5.328847770992333268e-14,2.040186821605515733e-14,1.341869443438982209e-13,2.149648216334698437e-14,4.094739252140977105e-14,9.165536007827691323e-14,1.425113154344585044e-13,8.440173164320115598e-14,3.889022228442712830e-14
1.449999999999999900e-01,2.436592926589450036e-05,1.019670597053536287e-07,1.056025953493496798e-06,5.993587745808431965e-07,1.917043189704789829e-05,3.438145012273376043e-06,6.142065981624626184e-14,3.056127715844799033e-14,1.312524147778986954e-13,3.020957229103199840e-14,3.197558128346965656e-14,7.510941302711122420e-14,1.113600815025296113e-13,6.905435476708490332e-14,2.785018017452343575e-14
1.499999999999999944e-01,2.487819950891038382e-05,9.939635078704188958e-08,7.516711090167115958e-07,4.776580655044770728e-07,1.869419705351726258e-05,4.855276365182171846e-06,6.377591393367465557e-14,4.007904052868796541e-14,1.801860466112474766e-13,3.977748315571581067e-14,2.208212745779630544e-14,6.008837712976020494e-14,8.383641170637957331e-14,5.605189716640333311e-14,1.902541931243154852e-14
1.549999999999999989e-01,5.096284503488102255e-05,9.474033100912144266e-08,1.928578885831301011e-06,3.547894428785857220e-07,1.724213301511451596e-05,3.134260280467666412e-05,4.939483996791466453e-14,4.546598914353864741e-14,2.468723880745215682e-13,4.612914204725655912e-14,1.319123439019812594e-14,4.321171194993685551e-14,5.860309240387981617e-14,4.106437519400654899e-14,1.143805348753679910e-14
1.599999999999999756e-01,7.699419788870963876e-05,8.938282091730704491e-08,4.219336210188694639e-06,2.337246718143445242e-07,1.481538748616978626e-05,5.763636618535752389e-05,3.497621255041583851e-14,4.742223658314948561e-14,2.818763396215255242e-13,4.922192994856859484e-14,6.397737676279822026e-15,2.545251896714433995e-14,3.867308608871613101e-14,2.463032516748247477e-14,5.611611518217568202e-15
1.649999999999999800e-01,6.589304141825023226e-05,7.424213964124881924e-08,7.057678133546338344e-06,1.422056846623706209e-07,1.205976575630204772e-05,4.655914923905211868e-05,3.709931526762803369e-14,4.913327415246204139e-14,2.667172291765282755e-13,5.159228846910510742e-14,1.869453491451245121e-15,1.444998751463201926e-14,2.819650825436478774e-14,1.429316923072024306e-14,1.694881361491653726e-15
1.699999999999999845e-01,2.804784026456108706e-05,5.314133236406667128e-08,1.003221686135949891e-05,7.376742331537199264e-08,9.030779449178462527e-06,8.857934766966941094e-06,5.198284268516146241e-14,5.115847713013554002e-14,2.223635825931346671e-13,5.251324726451531440e-14,3.311460203435480305e-16,1.435860556527721444e-14,2.395568185826269878e-14,1.436106144089479825e-14,3.521026756306408028e-16
1.749999999999999889e-01,3.282789726439269104e-05,3.945160198972834943e-08,1.277356933064372334e-05,3.175115469959382677e-08,6.087965749618688261e-06,1.389515900111180009e-05,7.178428807220077433e-14,5.021454100923824701e-14,1.824631413608408267e-13,5.638992440979076198e-14,2.105978717400477496e-15,1.984417573525048594e-14,2.201455952571334582e-14,1.962084736119788667e-14,1.891703395390659829e-15
1.799999999999999933e-01,1.212179348847736962e-04,4.085792205192328768e-08,1.495586351644653759e-05,1.616647560441289611e-08,3.570179620290878217e-06,1.026348667653397798e-04,3.866131302953137376e-14,4.679847261331453052e-14,1.646064248528692608e-13,2.458173610081628509e-13,6.027359202028835404e-15,2.453978444776719680e-14,2.930114156536040609e-14,2.370970608709147455e-14,5.578602347307100967e-15
1.804999999999999938e-01,1.326900048025242689e-04,4.074464858765540375e-08,1.511703880167618799e-05,1.580953991077533892e-08,3.372368113018132380e-06,1.141440430768361487e-04,6.157797742277445778e-14,4.649158572081820434e-14,1.373835783360567558e-13,2.847457295547145724e-13,6.708159563807838499e-15,2.496933301142672285e-14,3.042032962482640751e-14,2.409583325514924570e-14,6.102867820966898237e-15
1.809999999999999942e-01,1.441444212413972267e-04,4.119208441585963609e-08,1.526921080295988513e-05,1.572722894427282163e-08,3.192233617916614993e-06,1.256260567491126177e-04,1.643725920637685855e-13,4.577565906763193638e-14,1.412554244019278491e-13,3.072306210660510359e-13,7.373087287110025981e-15,2.632355037087310956e-14,3.378355362807808380e-14,2.534015009597291297e-14,6.593330198213904679e-15
1.814999999999999947e-01,1.554190485938974713e-04,4.232453636240640266e-08,1.541878459008375280e-05,1.596247029426182522e-08,3.018033395195755521e-06,1.369239425562810753e-04,4.123852448973755468e-13,4.451943447996134906e-14,1.758764664554739447e-13,3.034075505655095847e-13,7.950837516532641654e-15,2.834931078255294777e-14,3.899353598052715206e-14,2.718884204381765989e-14,7.009016341923696005e-15
1.819999999999999951e-01,1.663448211802817515e-04,4.401668289931052462e-08,1.557048633141752193e-05,1.653635800988591172e-08,2.838870542933173779e-06,1.478749097052923654e-04,9.007656840431354216e-13,4.267083017475501054e-14,2.293926108025785195e-13,2.663266591991786080e-13,8.400747355643402416e-15,3.055384456004721991e-14,4.509571593413059383e-14,2.917349004700814548e-14,7.349920811862817698e-15
1.824999999999999956e-01,1.767498760054993115e-04,4.592388254484682651e-08,1.572542998186742574e-05,1.743230809794773261e-08,2.648631051388071131e-06,1.583124563691203622e-04,1.762323889261182160e-12,4.032492315504187899e-14,2.824225679108870049e-13,1.969950556018493553e-13,8.729802229938750048e-15,3.237215857711006615e-14,5.086650656038928049e-14,3.077403299050185348e-14,7.671700306859018116e-15
1.829999999999999960e-01,1.864638887498731141e-04,4.759811053158736500e-08,1.588049645973626709e-05,1.859163507220325706e-08,2.447882112876589115e-06,1.680693166537059076e-04,3.175995419862413105e-12,3.782230540636108867e-14,3.150630856552722119e-13,1.118251489225192787e-13,8.992517738970412713e-15,3.336443402796496700e-14,5.520162515940669939e-14,3.160432351671198685e-14,8.081696552467804009e-15
1.834999999999999964e-01,1.953221292640305482e-04,4.864586798943570110e-08,1.602929886522707980e-05,1.992497040200161023e-08,2.243160107470713356e-06,1.769810935337612400e-04,5.375599133531500585e-12,3.589064787646690888e-14,3.143322637007841558e-13,5.297060347403869716e-14,9.273079128873756460e-15,3.337207146960959124e-14,5.747479607147314701e-14,3.155253096343545827e-14,8.714949151836320175e-15
1.839999999999999969e-01,2.031689365225533182e-04,4.886731151287178577e-08,1.616440036567014127e-05,2.133792325361635596e-08,2.044117025622783381e-06,1.848902046804754766e-04,8.658467885808672882e-12,3.584203947372456163e-14,2.792371675266410826e-13,1.019765621696223346e-13,9.655934511853616324e-15,3.257543700301493133e-14,5.774351108330778294e-14,3.082438630167242674e-14,9.695520455494002187e-15
1.844999999999999973e-01,2.098605158743079252e-04,4.832285622746006615e-08,1.627996724457568781e-05,2.276305955579540443e-08,1.859775069685555699e-06,1.916496734530782507e-04,1.339344031217015376e-11,3.983511226650650279e-14,2.215231961220136633e-13,3.970627809200123560e-13,1.019557264790145530e-14,3.143241351307475347e-14,5.672962782570979653e-14,2.987285008613294018e-14,1.109333163055117835e-14
1.849999999999999978e-01,2.152671238519722951e-04,4.730184209644105866e-08,1.637386770599404918e-05,2.418642191721470667e-08,1.695373759903088420e-06,1.971263725881103985e-04,2.002762154492607687e-11,5.120445756860457077e-14,1.618066411160634383e-13,1.154192702506984403e-12,1.089665480093200208e-14,3.052081806146177816e-14,5.558045388592360882e-14,2.923966212363960338e-14,1.288817400666712086e-14
1.854999999999999982e-01,2.192748065166514118e-04,4.620613404967034951e-08,1.644843427582584342e-05,2.565743123200836380e-08,1.550933778428101647e-06,2.012035427747124413e-04,2.909126074595656568e-11,7.485160403818415517e-14,1.225695090660917340e-13,2.691857923803863125e-12,1.171181885187812682e-14,3.034270837074685235e-14,5.549220108934693531e-14,2.936637418313544915e-14,1.495045059662806424e-14
1.859999999999999987e-01,2.217869048408079599e-04,4.539441761018163726e-08,1.650961263063432661e-05,2.727635416943599659e-08,1.421898691246455152e-06,2.037826757009345577e-04,4.120006091372361476e-11,1.176835684469132280e-13,1.207081729045139709e-13,5.459230252467348598e-12,1.255784472394847809e-14,3.116124703932581363e-14,5.732433559243311146e-14,3.044275511381535907e-14,1.704389133572368828e-14
1.864999999999999991e-01,2.227255517193492493e-04,4.504742559318828973e-08,1.656482573808837875e-05,2.916182202038927038e-08,1.301385279776902016e-06,2.047850638222460705e-04,5.705423758408617883e-11,1.890782961499224137e-13,1.624957160311907808e-13,1.006701152837576609e-11,1.334406724902569645e-14,3.292666430776691236e-14,6.133370640032714764e-14,3.234547578467784374e-14,1.885130234978133766e-14
1.869999999999999996e-01,2.220333659186470878e-04,4.510492022131536270e-08,1.662035565756213057e-05,3.140895713228078108e-08,1.183008454774597555e-06,2.041533924599517390e-04,7.743368265514139523e-11,3.013521353866579880e-13,2.428753711774325160e-13,1.731995794355234167e-11,1.400258396271773519e-14,3.531304265903420186e-14,6.711238345778548513e-14,3.468626942129810650e-14,2.002266230115230156e-14
1.875000000000000000e-01,2.196754895784595461e-04,4.529615602077533014e-08,1.667920740390149820e-05,3.405315618709808093e-08,1.063144123384050777e-06,2.018536562977873495e-04,1.031886716313453664e-10,4.702028719022378879e-13,3.493226003412286193e-13,2.824968819013876020e-11,1.450954176487751433e-14,3.784616777007324241e-14,7.374087379667202659e-14,3.695002886423066816e-14,2.024687344017526927e-14
1.880000000000000004e-01,2.156420054186169370e-04,4.524875986903793314e-08,1.674021469701850057e-05,3.705340231307543107e-08,9.418459393454083022e-07,1.978774618714177424e-04,1.352256802998802127e-10,7.151019803161433655e-13,4.687598101170652269e-13,4.414602463515064913e-11,1.489055512625004517e-14,4.007075363645741806e-14,8.009646378895173797e-14,3.867477391975605226e-14,1.935394241379321818e-14
1.885000000000000009e-01,2.099506113861808118e-04,4.463127384242851132e-08,1.679866350225549197e-05,4.030225253689215797e-08,8.222507863686087672e-07,1.922445206446636644e-04,1.744880520308734273e-10,1.059610372376336356e-12,5.948682457148823882e-13,6.658478843718856950e-11,1.520947502111991003e-14,4.169479649189559138e-14,8.521114524030752900e-14,3.961769599059733096e-14,1.746152964858963940e-14
1.890000000000000013e-01,2.026492574484664122e-04,4.327354932547442772e-08,1.684813845932843995e-05,4.365978085850285651e-08,7.089166274269836621e-07,1.850049471838724382e-04,2.219314786822502100e-10,1.531591895737101919e-12,7.330532346358740453e-13,9.744970029210151893e-11,1.554577807964608258e-14,4.266251730820029368e-14,8.856969785141397075e-14,3.986641161133807118e-14,1.518605450207609563e-14
1.895000000000000018e-01,1.938183207302117102e-04,4.122046296192107125e-08,1.688285956862883180e-05,4.699955384327356732e-08,6.058922574942627458e-07,1.762409281791035972e-04,2.784945214152038303e-10,2.163297626923523417e-12,9.012956302652562321e-13,1.389458570014481365e-10,1.596943926672396987e-14,4.313841026271828092e-14,9.027409938577257513e-14,3.988480420161356371e-14,1.394142019949091493e-14
1.900000000000000022e-01,1.835718737867209245e-04,3.870265946162799949e-08,1.689963308989116846e-05,5.024986299219657263e-08,5.153086012526992905e-07,1.660674365803333483e-04,3.450646920916058482e-10,2.991291946185044413e-12,1.126754812233948515e-12,1.936021887163399407e-10,1.652206818189498768e-14,4.341986177925693321e-14,9.105862965879469899e-14,4.051525612487549120e-14,1.634652318232702513e-14
1.905000000000000027e-01,1.720577209009833681e-04,3.604121989329613843e-08,1.689873339258235430e-05,5.341498903283912855e-08,4.369553284392834719e-07,1.546318835509639369e-04,4.224409252578636570e-10,4.056189620041047474e-12,1.439615127161370729e-12,2.642603783869978185e-10,1.720967375849276958e-14,4.382043742495427667e-14,9.219663990210458312e-14,4.298034301741167956e-14,2.675612038339648059e-14
1.910000000000000031e-01,1.594561203469185059e-04,3.352781850748835118e-08,1.688347213941657679e-05,5.656875554055464876e-08,3.688390736213093986e-07,1.421128396906749672e-04,5.112935745856705061e-10,5.402173232980650299e-12,1.866644318310282499e-12,3.540479643144045482e-10,1.800735717845830992e-14,4.457120816977532124e-14,9.537368597402767666e-14,4.892917602807641430e-14,5.191973796615122596e-14
1.915000000000000036e-01,1.459774018554151705e-04,3.132863318567683601e-08,1.685871710514549797e-05,5.982317560172070984e-08,3.083226488814403465e-07,1.287181220027729524e-04,6.121233436474826289e-10,7.076263819978679020e-12,2.426892521575601324e-12,4.663337615275563819e-10,1.887175458083643138e-14,4.577302047142464882e-14,1.026025388032225126e-13,6.055691242843393923e-14,1.017621257455178351e-13
1.920000000000000040e-01,1.318589208407244969e-04,2.944731879098132055e-08,1.682899757434184982e-05,6.328446284763179405e-08,2.532745552391026807e-07,1.146825743316490904e-04,7.252207876404710327e-10,9.127325427448317115e-12,3.130956398006193580e-12,6.046643305154198726e-10,1.975496387772829865e-14,4.740637402420803937e-14,1.162278185186627187e-13,8.079865779904195895e-14,1.902680399082146130e-13
1.925000000000000044e-01,1.173618675318666328e-04,2.775613238634660615e-08,1.679694002138351394e-05,6.701331428008319008e-08,2.027548781198957656e-07,1.002657636289894043e-04,8.506281822804605866e-10,1.160479670223327022e-11,3.983705696230827682e-12,7.726809831813842872e-10,2.061460991197447303e-14,4.938000296347191527e-14,1.390271589451912086e-13,1.135730679542661035e-13,3.364446859195067085e-13
1.930000000000000049e-01,1.027683277911657682e-04,2.607628838861833291e-08,1.676259162944041166e-05,7.100434366501754964e-08,1.570473111967973915e-07,8.574962557225035474e-05,9.881056357420859655e-10,1.455715872699749882e-11,4.988958638076582651e-12,9.740177235625904772e-10,2.141785459417852827e-14,5.158562786542305824e-14,1.743808227736073404e-13,1.640368979632861271e-13,5.653266821243673467e-13
1.935000000000000053e-01,8.837871002533999559e-05,2.427038495760917265e-08,1.672380104685410192e-05,7.519169657314951397e-08,1.171664051141511017e-07,7.143590557262233817e-05,1.137103311570557689e-09,1.803016675143213625e-11,6.153869508835720781e-12,1.212181540101811127e-09,2.214080232620082374e-14,5.392981316198438199e-14,2.264662061595819994e-13,2.388139484132617769e-13,9.089799098997559069e-13
