energy_au,total_recorded_SI,n1_l0_m+0,n2_l0_m+0,n2_l1_m-1,n2_l1_m+0,n2_l1_m+1
1.000000000000000021e-02,9.683325860604113933e-02,6.582191219542107841e-03,4.731948943038357530e-02,4.253329047357617097e-03,3.763395985888295242e-02,1.044289049874879294e-03
1.499999999999999944e-02,7.129230164983460516e-02,5.151901524193042668e-03,2.535394331892704134e-02,4.524438673696037742e-03,3.618037518569668098e-02,8.164294732179650297e-05
1.999999999999999695e-02,6.170672118104475468e-02,4.822931118638617079e-03,1.568286426089702049e-02,4.967038796592661634e-03,3.618323074086996632e-02,5.065626404648920647e-05
2.499999999999999792e-02,5.320009573345681891e-02,3.834218274521002633e-03,1.219190775374639525e-02,4.075140771315367144e-03,3.302501455042775036e-02,7.381438344630207604e-05
2.999999999999999889e-02,4.590186703951085190e-02,2.950155822003060983e-03,1.035194450243138650e-02,2.844897594186784721e-03,2.966921383493090897e-02,8.565528595871215963e-05
3.499999999999999639e-02,3.899906006530653307e-02,2.156821302661340173e-03,8.746767497686902884e-03,1.883018980718166374e-03,2.614163624944050579e-02,7.081603479961702606e-05
3.999999999999999389e-02,3.239573191603092178e-02,1.521691924464222984e-03,7.172834834672783474e-03,1.304747383385379631e-03,2.235369706220883060e-02,4.276071129971048106e-05
4.499999999999999833e-02,2.639643147907304310e-02,1.033378212872726985e-03,5.786386250920368818e-03,9.614591603798853820e-04,1.859826953314439035e-02,1.693832175567126295e-05
4.999999999999999584e-02,2.139597761803558457e-02,6.778937285354851364e-04,4.693468073648986334e-03,6.975577815190865498e-04,1.532367640642464529e-02,3.381627907383793657e-06
5.499999999999999334e-02,1.752130202326462535e-02,4.330797928730788834e-04,3.852289416141515405e-03,4.617347622373182883e-04,1.276721860818686577e-02,6.979443825844952303e-06
5.999999999999999084e-02,1.453056038038316906e-02,2.722556343966022006e-04,3.157926361315975972e-03,2.716964339110415736e-04,1.080169852668758090e-02,2.698342407196840053e-05
6.499999999999998834e-02,1.200359033223340720e-02,1.700564163212036934e-04,2.538826440810972463e-03,1.469456393913474003e-04,9.090227666403955659e-03,5.753416930592833499e-05
