energy_au,total_recorded_SI,n1_l0_m+0,n2_l0_m+0,n2_l1_m-1,n2_l1_m+0,n2_l1_m+1
1.000000000000000021e-02,9.831373924475185488e-02,5.493052219227153796e-03,4.986332506360366401e-02,6.343945938782761737e-03,3.656877958526135591e-02,4.463643787690998088e-05
1.499999999999999944e-02,7.395871980759022302e-02,5.044210930557832540e-03,2.586558265443101440e-02,5.048019284507470478e-03,3.797903758360935550e-02,2.186935448456124896e-05
1.999999999999999695e-02,6.526273568411972148e-02,4.805863850410593135e-03,1.775937826110165346e-02,4.711302429020102975e-03,3.793990446179790199e-02,4.628668178946065303e-05
2.499999999999999792e-02,5.375064121221004992e-02,3.867957092429451238e-03,1.223236552149485103e-02,3.834209891514818880e-03,3.374722563559489491e-02,6.888307117603764977e-05
2.999999999999999889e-02,4.467356149988863795e-02,2.959638518176447176e-03,1.088212646313503965e-02,3.148136426700704447e-03,2.760245654064796481e-02,8.120355122848287748e-05
3.499999999999999639e-02,3.811775075888630682e-02,2.133108834055976073e-03,9.045661234850524424e-03,1.928321898976769096e-03,2.494454277218909055e-02,6.611601881394976255e-05
3.999999999999999389e-02,3.202150059421140366e-02,1.530945069181576619e-03,7.919037991307036756e-03,1.693143725415389468e-03,2.083738736780884823e-02,4.098644049855591580e-05
4.499999999999999833e-02,2.586804459007182797e-02,1.012278538367817476e-03,5.989284287414387530e-03,9.421673780760651861e-04,1.790803620873918089e-02,1.627817747437531996e-05
4.999999999999999584e-02,2.231744583584386113e-02,6.767794459068774684e-04,5.487069033970263035e-03,6.896330398341341894e-04,1.546166196021805765e-02,2.302355914531108431e-06
5.499999999999999334e-02,1.737002558037575514e-02,4.237367414766571696e-04,3.794718612306800624e-03,4.333979837249740089e-04,1.271173870469570824e-02,6.433538171616505286e-06
5.999999999999999084e-02,1.422910975727125805e-02,2.674662446380334131e-04,3.312723777018168614e-03,2.657042832930897949e-04,1.035628447549082759e-02,2.693097683113784325e-05
6.499999999999998834e-02,1.139278801803499629e-02,1.633799909879149470e-04,2.501927742144923351e-03,1.503108393506301127e-04,8.519511462396519089e-03,5.765798315500924795e-05
6.999999999999999278e-02,8.651617087729582614e-03,1.046459750368181833e-04,1.881313134698724089e-03,1.302723575974264311e-04,6.445274903050260407e-03,9.011071734635263701e-05
7.499999999999998335e-02,6.830996794650432899e-03,6.261255121766015586e-05,1.562653033375623664e-03,4.268999120852829852e-05,5.050414418420646687e-03,1.126268004279742696e-04
7.999999999999998779e-02,5.149620557797769498e-03,4.367655868372598402e-05,1.115839020781902438e-03,5.930759957776072448e-05,3.813544217346464919e-03,1.172531614079148357e-04
