energy_au,total_recorded_SI,n1_l0_m+0,n2_l0_m+0,n2_l1_m-1,n2_l1_m+0,n2_l1_m+1,n3_l0_m+0,n3_l1_m-1,n3_l1_m+0,n3_l1_m+1,n3_l2_m-2,n3_l2_m-1,n3_l2_m+0,n3_l2_m+1,n3_l2_m+2,n5_l2_m-2,n5_l2_m+2,n5_l4_m-4,n5_l4_m-2,n5_l4_m+2,n5_l4_m+4
1.000000000000000021e-02,7.390531505337639973e-02,5.992360992248842513e-03,1.886976851847493170e-02,7.583906933688201908e-03,4.090008750458595799e-02,5.499652732863037673e-04,2.140888378197486852e-13,1.333933364569616589e-07,3.389799564107267976e-13,8.327321853789127948e-14,4.118605851398634871e-06,2.320229145755958192e-11,1.552583262023717743e-12,5.501731617452532019e-13,9.851768543516693923e-14,5.671538413493680066e-08,9.913529058851059005e-18,2.676564769619510496e-06,2.240525710642642906e-06,6.342189662767484569e-22,1.031143216467859338e-31
1.499999999999999944e-02,5.179009174379198277e-02,4.854302921038176725e-03,8.088492360859053654e-03,5.246007705188730774e-03,3.355942302571315178e-02,3.808051605837125571e-05,1.691608879314166094e-13,9.236970691298533949e-09,3.479357409367982645e-13,3.808102490674031352e-14,1.765433909000883606e-06,1.913236058756505062e-11,1.638508253554402213e-12,5.538105577233470641e-13,1.221723831944257433e-13,3.927094578555667443e-09,6.859118808478775301e-19,1.851457210241804164e-06,1.551377479455640859e-07,3.172427588534824667e-22,1.304694838071609078e-31
1.999999999999999695e-02,3.065711719913828334e-02,2.736938115040195643e-03,4.740913133760151638e-03,2.815161966885198694e-03,2.030562361882765413e-02,5.620363062367990050e-05,1.489454772469720906e-13,1.363238618536703262e-08,3.189773785441116470e-13,4.730634136389496445e-14,1.034774775175965064e-06,1.169724702476706178e-11,1.403216939937119454e-12,4.766200212257007363e-13,9.924374661871527936e-14,5.796037459068284057e-09,1.012640948093760097e-18,9.935463741088396856e-07,2.289702369172013161e-07,2.773476676560211090e-22,1.051816576724257330e-31
2.499999999999999792e-02,1.741266664916648818e-02,1.521593245791807384e-03,3.075622015698574463e-03,1.421157590152914967e-03,1.136964773992438227e-02,2.336989818652290525e-05,1.128966992783615216e-13,5.668556686014818815e-09,2.974596587180688812e-13,5.403576805689033319e-14,6.713000457591401370e-07,6.611557528377465215e-12,9.750940576571222282e-13,3.431712392044759790e-13,5.526169039950211634e-14,2.410047244394271764e-09,4.202931498642040107e-19,5.015647408940430523e-07,9.520757222293013535e-08,1.480392154496815988e-22,5.869069040250178746e-32
2.999999999999999889e-02,9.606360302795170433e-03,7.838565062200525142e-04,2.094674163575476443e-03,6.965423363661474732e-04,6.020996037179935159e-03,9.546042687779558416e-06,7.517635458667638668e-14,2.315557110254474633e-09,2.654047007629828314e-13,5.549012619990410111e-14,4.571935275070147207e-07,3.522352421164072711e-12,5.391900173240412532e-13,2.104890371942123650e-13,1.926186336032636789e-14,9.844549953230494606e-10,1.715264735040400502e-19,2.458285302510450406e-07,3.889000855173827182e-08,5.227286053817223116e-23,2.056256612822945122e-32
3.499999999999999639e-02,5.195322152804503907e-03,3.769144858213968954e-04,1.444550484392632299e-03,3.359526826301565414e-04,3.033528921191272747e-03,3.924370859837054397e-06,4.275628903936493364e-14,9.519863412580548259e-10,2.055842774121540742e-13,5.242836905782258984e-14,3.152943801886554326e-07,1.781626917250607903e-12,2.289572124312319502e-13,1.158827861794744365e-13,3.726482691495000346e-15,4.047168931441971833e-10,7.051136150295207192e-20,1.185667428304785976e-07,1.598765199264728306e-08,1.195153454453126625e-23,4.124986355934718654e-33
3.999999999999999389e-02,2.766939424783347763e-03,1.632568242265837097e-04,9.694838392353945450e-04,1.602285060088688099e-04,1.472027545895358749e-03,1.667186741087375444e-06,1.981388410349540882e-14,4.044665513083793749e-10,1.325832773118989270e-13,4.150934941998042207e-14,2.116040706966608384e-07,8.765607249790022821e-13,7.997017615362694307e-14,6.883260455645855085e-14,6.371613239275381185e-15,1.719411495490003805e-10,3.007984889919332849e-20,5.654895350425274305e-08,6.792018510862968233e-09,1.597282539884610923e-23,6.771846435196380319e-33
4.499999999999999833e-02,1.458031995141889723e-03,6.201085373042086865e-05,6.113112083144432935e-04,7.490156627741660720e-05,7.085662509401556911e-04,1.077490619256682976e-06,1.026912206648721061e-14,2.614030257333831697e-10,8.604963626956648071e-14,2.448776421743086954e-14,1.334276278944805754e-07,4.484801445116676512e-13,4.567706319958510902e-14,6.019112093273110469e-14,2.002584023687238303e-14,1.111221803655911267e-10,1.972956676634252943e-20,2.643478019042201370e-08,4.389631724761481230e-09,4.673661776070893739e-23,2.100681583859447113e-32
4.999999999999999584e-02,7.599204528305514598e-04,1.994833816527053166e-05,3.529104117487109264e-04,3.401982832098214506e-05,3.504212443570590670e-04,2.520455826352811144e-06,1.297894894560143012e-14,6.113660719205846498e-10,8.332474404001148861e-14,1.406580151120020181e-14,7.702786472378947105e-08,2.710136417006936129e-13,5.738135701820617072e-14,8.142054922413116420e-14,3.677166241988844047e-14,2.599248453140109351e-10,4.575738287157149431e-20,1.200651417883611773e-08,1.026818539940363676e-08,8.681974790861018864e-23,3.858511923165812195e-32
5.499999999999999334e-02,3.892004703748337289e-04,5.173732894686030840e-06,1.821574081980416229e-04,1.540121503305400918e-05,1.814034691784409013e-04,4.997364021087619243e-06,1.678149429778732531e-14,1.212116622859375386e-09,9.308526613513283662e-14,1.924540109786641337e-14,3.975852147163805157e-08,2.168160266525480886e-13,6.640897850538065819e-14,1.253177703497324076e-13,4.798695366395415131e-14,5.153590919954382384e-10,9.026759127521487298e-20,5.435503969776167615e-09,2.035896272539165246e-08,1.144022134455217504e-22,5.035386616136731070e-32
