energy_au,total_recorded_SI,n1_l0_m+0,n2_l0_m+0,n2_l1_m-1,n2_l1_m+0,n2_l1_m+1,n3_l0_m+0,n3_l1_m-1,n3_l1_m+0,n3_l1_m+1,n3_l2_m-2,n3_l2_m-1,n3_l2_m+0,n3_l2_m+1,n3_l2_m+2,n5_l2_m-2,n5_l2_m+2,n5_l4_m-4,n5_l4_m-2,n5_l4_m+2,n5_l4_m+4
1.000000000000000021e-02,7.405181476176198041e-02,5.992361010221457229e-03,1.886976851120769627e-02,7.710259144533420511e-03,4.090008750450215697e-02,5.409526922252917702e-04,3.612165080526167420e-13,1.731068533014653900e-13,3.389790639178406314e-13,1.870092415559196128e-06,1.306648768281719532e-13,5.724375979130543745e-13,2.351970834582041430e-12,2.331713062473899582e-11,4.118602620894291902e-06,1.388675020269685634e-16,7.951231126643192600e-07,2.034067191076780293e-31,6.543842064147599821e-21,3.141113680942007652e-05,1.909168677904340557e-07
1.499999999999999944e-02,5.189843423865660860e-02,4.854302920973604246e-03,8.088492356171463060e-03,5.333409186806629954e-03,3.355942302563302837e-02,3.745647724145297579e-05,2.788697111749549953e-13,1.218752249430435882e-13,3.479350558122257714e-13,1.293596854258602560e-06,1.542917663399298722e-13,5.795177137597505646e-13,2.230492740976254883e-12,1.922093362799855985e-11,1.765431526816603795e-06,9.605454053986450285e-17,5.500095027165195495e-07,2.076676308961147082e-31,4.673678437985713361e-21,2.172799156595436553e-05,1.321944667901838103e-08
1.999999999999999695e-02,3.071452514286709609e-02,2.736938119638833520e-03,4.740913131908965766e-03,2.862064170614368221e-03,2.030562361874750296e-02,5.528259047108023748e-05,2.075647696050751910e-13,8.271755848802232187e-14,3.189768108857250739e-13,6.941822160710350727e-07,1.218220630453329644e-13,4.950751121559954071e-13,1.712556520888424790e-12,1.176319380019246031e-11,1.034773517709036239e-06,5.154410559726492823e-17,2.951512390024750175e-07,1.521087741985103577e-31,2.594042538712260447e-21,1.165987906946569633e-05,1.951074213497941404e-08
2.499999999999999792e-02,1.744174984188310434e-02,1.521593246508250999e-03,3.075622014981304470e-03,1.444834885734130447e-03,1.136964773986238672e-02,2.298692476505105495e-05,1.415358040242310240e-13,6.678317132217870506e-14,2.974591313882791934e-13,3.504387147226192131e-07,6.750785048823709916e-14,3.516539027506224193e-13,1.120621413401509468e-12,6.659271137200336867e-12,6.712994042838182854e-07,2.602113793228647647e-17,1.489991631182656571e-07,8.292230653387596499e-32,1.320756376739177733e-21,5.886171322618998566e-06,8.112722373294393296e-09
2.999999999999999889e-02,9.620653690945658171e-03,7.838565061155493025e-04,2.094674163228634096e-03,7.081471288925522386e-04,6.020996037139389467e-03,9.389608486651115427e-06,8.762422662359941075e-14,6.172121088154873983e-14,2.654041784392190239e-13,1.717578427600882489e-07,2.374159285944512034e-14,2.120848206584547069e-13,6.005142504173471144e-13,3.556214981624061835e-12,4.571932020818513890e-07,1.275484185430196722e-17,7.302811933695025442e-08,3.086513362099072162e-32,6.259577671763321632e-22,2.884949253455269991e-06,3.313857931406781159e-09
3.499999999999999639e-02,5.202229975154496269e-03,3.769144856272025170e-04,1.444550484219786837e-03,3.415498457592337713e-04,3.033528921168481517e-03,3.860061698297469794e-06,4.791782066607563351e-14,5.804319675008616092e-14,2.055837821201283512e-13,8.284130738702707086e-08,4.631884329537143604e-15,1.154205379237700039e-13,2.544033541406945626e-13,1.803027303121682190e-12,3.152942186943022271e-07,6.152975103544750930e-18,3.522259569251662502e-08,7.844627706251410651e-33,2.875308170481168076e-22,1.391453742280745316e-06,1.362328406382016369e-09
3.999999999999999389e-02,2.770238209498707398e-03,1.632568242043680549e-04,9.694838390964872132e-04,1.628980034782684253e-04,1.472027545885907325e-03,1.639866704263878173e-06,2.235406699889753901e-14,4.674481269777289371e-14,1.325829343575173571e-13,3.951048595132356142e-08,7.333377863359512124e-15,6.964412288558944832e-14,9.221196210351403066e-14,8.859897457732586334e-13,2.116039987410879318e-07,2.935268239217119402e-18,1.679886098081199301e-08,9.184066357600652924e-33,1.497536780059296928e-22,6.636367678015482876e-07,5.787590751200337192e-10
4.499999999999999833e-02,1.459567967979331395e-03,6.201085382275201355e-05,6.113112080428468546e-04,7.614946761696892883e-05,7.085662509391473830e-04,1.059833798287939528e-06,1.165981745815334513e-14,2.817877419445568931e-14,8.604947362029829050e-14,1.847028637605802935e-08,2.311848347959744614e-14,6.360980896885769894e-14,5.243360072175648297e-14,4.482907351246175577e-13,1.334275942808644306e-07,1.372548285812807095e-18,7.852723222292570796e-09,2.493043095595890574e-32,1.151314533925348110e-22,3.102283944290191076e-07,3.740476784580147978e-10
4.999999999999999584e-02,7.605765258323248434e-04,1.994833826884717057e-05,3.529104113609295938e-04,3.458661680086428714e-05,3.504212443590879345e-04,2.479152096796692715e-06,1.343021242209229788e-14,1.596280949066718348e-14,8.332467440196682227e-14,8.389168447411065112e-09,4.238737901965686906e-14,8.786425760034046690e-14,6.214151919287002765e-14,2.650321713909226613e-13,7.702783490049765362e-08,6.237593404591782050e-19,3.566594809438159394e-09,4.471945445208653025e-32,1.251253063630992992e-22,1.409038158108191318e-07,8.749616874065783934e-10
5.499999999999999334e-02,3.894185833871158958e-04,5.173732960664307860e-06,1.821574079219414894e-04,1.565780831041652772e-05,1.814034691794918185e-04,4.915469724754275706e-06,1.703268706013511612e-14,1.985349611012861783e-14,9.308525509850291550e-14,3.797613063361443699e-09,5.519776688695557490e-14,1.336576185028453059e-13,7.008755146927226168e-14,2.091085791946784407e-13,3.975849908550969786e-08,2.826551491415294897e-19,1.614797462171210042e-09,5.799610509607458454e-32,1.394119638023584692e-22,6.378897959213865058e-08,1.734802621029078788e-09
